"ID";Aadress;Täisaadress;Objekti liik;Tase1 kood;Tase1 nimetus;Tase2 kood;Tase2 nimetus;Tase3 kood;Tase3 nimetus;Tase4 kood;Tase4 nimetus;Tase5 kood;Tase5 nimetus;Tase6 kood;Tase6 nimetus;Tase7 kood;Tase7 nimetus;Tase8 kood;Tase8 nimetus;Koodaadress;ADR ID;L-Est X;L-Est Y;N;E;N (dms);E (dms)
1383645;Käru Käru vald Raplamaa;"Järva maakond, Türi vald, Käru alevik";3;52;Järva maakond;834;Türi vald;3931;Käru alevik;;;;;;;;;;;528343931000000000000000000000000;3525733;;;;;;
1437753;Erastvere Kanepi vald Põlvamaa;"Põlva maakond, Kanepi vald, Erastvere küla";1;64;Põlva maakond;284;Kanepi vald;1620;Erastvere küla;;;;;;;;;;;642841620000000000000000000000000;3132971;6429731;665398;57,97799;26,79614;"57°58'40.75""";"26°47'46.10"""
1441906;Koorti 21 Ihaste Tartu Tartumaa;"Tartu maakond, Tartu linn, Tartu linn, J. Koorti tn 21";3;79;Tartu maakond;793;Tartu linn;8151;Tartu linn;;;0SLA;J. Koorti tn;;;BJVK;21;;;79793815100000SLA0000BJVK00000000;3090946;6471864;662989;58,35685;26,78502;"58°21'24.66""";"26°47'6.06"""
1446177;Kurista Võnnu vald Tartumaa;"Tartu maakond, Kastre vald, Kurista küla";1;79;Tartu maakond;291;Kastre vald;3677;Kurista küla;;;;;;;;;;;792913677000000000000000000000000;3158314;6462091;676470;58,26396;27,00759;"58°15'50.26""";"27°0'27.32"""
1503192;Tamulakalda tn. 6 Võru linna piiril Võru Võrumaa;"Võru maakond, Võru linn";1;87;Võru maakond;919;Võru linn;;;;;;;;;;;;;879190000000000000000000000000000;3221213;6415713;677886;57,84741;26,9964;"57°50'50.66""";"26°59'47.06"""
1504311;Rüütli 24 Pärnu Pärnumaa;"Pärnu maakond, Pärnu linn, Pärnu linn, Rüütli tn 24";3;68;Pärnu maakond;624;Pärnu linn;6619;Pärnu linn;;;0T1E;Rüütli tn;;;BFJ1;24;;;68624661900000T1E0000BFJ100000000;3071175;6471696;529293;58,38474;24,50079;"58°23'5.08""";"24°30'2.85"""
1524902;Lennu Laane Ülenurme vald Tartumaa;"Tartu maakond, Kambja vald, Laane küla, Lennu tn 50";3;79;Tartu maakond;283;Kambja vald;4017;Laane küla;;;0MT4;Lennu tn;;;76WT;50;;;79283401700000MT4000076WT00000000;2831680;6466371;656498;58,30994;26,67049;"58°18'35.79""";"26°40'13.76"""
1527915;Illi Nõo vald Tartumaa;"Tartu maakond, Nõo vald, Illi küla";1;79;Tartu maakond;528;Nõo vald;2039;Illi küla;;;;;;;;;;;795282039000000000000000000000000;3302107;6454348;643706;58,20645;26,44493;"58°12'23.22""";"26°26'41.76"""
1546095;Kesa 41 Variku Tartu Tartumaa;"Tartu maakond, Tartu linn, Tartu linn, Kesa tn 41";3;79;Tartu maakond;793;Tartu linn;8151;Tartu linn;;;0SQY;Kesa tn;;;B9X7;41;;;79793815100000SQY0000B9X700000000;3050421;6470609;658166;58,34736;26,70183;"58°20'50.50""";"26°42'6.60"""
1553961;Kuusiku 8 Kiviõli Ida-Virumaa;"Ida-Viru maakond, Lüganuse vald, Kiviõli linn, Kuusiku tn 8";3;45;Ida-Viru maakond;442;Lüganuse vald;3194;Kiviõli linn;;;0T8R;Kuusiku tn;;;BORH;8;;;45442319400000T8R0000BORH00000000;3297047;6582861;668259;59,35041;26,95856;"59°21'1.48""";"26°57'30.80"""
1562316;Vasula tee Pihlaka Kõrveküla Tartu vald Tartumaa;"Tartu maakond, Tartu vald, Kõrveküla alevik";1;79;Tartu maakond;796;Tartu vald;3824;Kõrveküla alevik;;;;;;;;;;;797963824000000000000000000000000;2822858;6479330;662178;58,42413;26,77645;"58°25'26.86""";"26°46'35.23"""
1567164;Kitzbergi Püssi Lüganuse vald Ida-Virumaa;"Ida-Viru maakond, Lüganuse vald, Püssi linn, A. Kitzbergi tn 1";3;45;Ida-Viru maakond;442;Lüganuse vald;6671;Püssi linn;;;0Q1G;A. Kitzbergi tn;;;9QUH;1;;;45442667100000Q1G00009QUH00000000;3263188;6584098;673532;59,35938;27,05214;"59°21'33.78""";"27°3'7.69"""
1567576;Valgma Paide vald Järvamaa;"Järva maakond, Paide linn, Valgma küla";1;52;Järva maakond;567;Paide linn;8935;Valgma küla;;;;;;;;;;;525678935000000000000000000000000;2647111;6527586;595820;58,87686;25,66149;"58°52'36.69""";"25°39'41.38"""
1573932;Kopli Kohtla-Nõmme Kohtla-Nõmme vald Ida-Virumaa;"Ida-Viru maakond, Toila vald, Kohtla-Nõmme alev, Kopli tn 1";3;45;Ida-Viru maakond;803;Toila vald;3270;Kohtla-Nõmme alev;;;05M5;Kopli tn;;;2E35;1;;;458033270000005M500002E3500000000;2593468;6584661;681595;59,36106;27,19421;"59°21'39.83""";"27°11'39.16"""
1579375;Suur-Liiva Haapsalu Läänemaa;"Lääne maakond, Haapsalu linn, Haapsalu linn, Suur-Liiva tn";2;56;Lääne maakond;184;Haapsalu linn;1692;Haapsalu linn;;;0RV8;Suur-Liiva tn;;;;;;;56184169200000RV80000000000000000;2659098;6534452;472741;58,94829;23,52641;"58°56'53.84""";"23°31'35.06"""
1603643;Heina põik Võru Võrumaa;"Võru maakond, Võru linn, Heina põik 2";3;87;Võru maakond;919;Võru linn;;;;;05JB;Heina põik;;;0YFZ;2;;;879190000000005JB00000YFZ00000000;3246857;6416212;677632;57,85198;26,99251;"57°51'7.14""";"26°59'33.02"""
1639965;Pihla tee Laadi Tahkuranna vald Pärnumaa;"Pärnu maakond, Häädemeeste vald, Laadi küla, Pihla tee 1";3;68;Pärnu maakond;214;Häädemeeste vald;4004;Laadi küla;;;0KC4;Pihla tee;;;5W2Y;1;;;68214400400000KC400005W2Y00000000;2943115;6460672;535292;58,28533;24,60165;"58°17'7.17""";"24°36'5.95"""
