Sõne;Märksõna;Sõnaliik;Vormiinfo;Tähendus;Keel;Murre;Murrak;Küla;Aasta;Isik;Vanus;Alt;Sugu;Kontekst
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Jõh;Kohtla-Vanaküla;1962;KJ;68;ei_ole;M;no nüd kaks üe- (.) üks kolm+gümend *aastat eij = ole neid *palju *tarvis *olnud vähe (...) tulettaga viel *mielde *mõnda
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Jõh;Kohtla-Vanaküla;1962;KJ;68;ei_ole;M;*tehti viel küla+sepp tegi *vikkatti aga mina neid eij = ole (.) siin oma (...) oma maeas ega oma mälestuses näind
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Jõh;Jõhvi;1962;KJ;79;ei_ole;N;*lapsed *surred = aga (.) mina neid *suitsettand küll ei ole (.) maa = ij = õle nii+sugust *asja *uskund midagi
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Jõh;Jõhvi;1962;KJ;79;ei_ole;N;mina = ij = ole midagi tiand *pruovida = aga (.) kui inimesel äda eij
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Jõh;Jõhvi;1962;KJ;79;ei_ole;N;maas = ja (...) ja mina enamb (.) eij = ole *tõhtind nüd *sinnep+pole seal+bol *käijägi kohe (.) iga = kõrd
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Jõh;Jõhvi;1962;KJ;79;ei_ole;N;eij = ole (.) oma *karjas olen käind (...) siss (.) ühe =
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Jõh;Jõhvi;1962;KJ;79;ei_ole;N;ole (.) talu+goh- kohas maa (.) maa = ij = ole old (...) *veikkesed maad olivad = ja (...) kuss isa
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Jõh;Jõhvi;1962;KJ;79;ei_ole;N;nigu *enne õlid tüe *vaimud (.) (-) ma = i ole *olnud (.) ei tia *niiskest *asjast *miski (.)
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Iis;Kõnnu;1975;KJ;72;ei_ole;N;üle tie *juoksevad (...) jaa aga mina siin eij = ole neid väga *palju nähnt (.) just *trehvand nägema (...) aga
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Iis;Kõnnu;1975;KJ;72;ei_ole;N;*selle+bärast (.) kulduur ema (...) et minu *lapsed *kuolis ei ole viel *mingi+sugust *alba teint (...) et emad *kutsudud (.) *sinna
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Iis;Kõnnu;1975;KJ;72;ei_ole;N;ja (.) puhas taga kõik (.) *mitte *mis'ki *kuskil ei ole nähä (...) *läksime *metsa *vahtisimme *metsa *maasigad kõik ilusad *suured
ole;olema;Va;pers.ind.pr.neg.;;eesti;Alutaguse;Iis;Kõnnu;1975;KJ;72;ei_ole;N;miss miss ma nüüd tien ikka et appi *kus'kild ei ole *saada = ja (...) ja = t sis vahe+bäl ol'i
ole;olema;Va;pers.ind.pr.neg.;;eesti;Ida;Pal;Süvalõpe;1961;KJ;82;ei_ole;M;ei mina eij = ole (...) eij = ole jahh (...)
ole;olema;Va;pers.ind.pr.neg.;;eesti;Ida;Pal;Süvalõpe;1961;KJ;82;ei_ole;M;ei mina eij = ole (...) eij = ole jahh (...)
ole;olema;Va;pers.ind.pr.neg.;;eesti;Kesk;Äks;Lammiku;1961;KJ;86;ei_ole;M;(.) et õed (.) käesid (.) et isä eij = ole tehnud `õigust (.)
ole;olema;Va;pers.ind.pr.neg.;;eesti;Kesk;Äks;Lammiku;1961;KJ;86;ei_ole;M;ol'i = vel ma = i tia nüid eij = ole nähnud `poegasi
ole;olema;Va;pers.ind.pr.neg.;;eesti;Kesk;Äks;Lammiku;1961;KJ;83;ei_ole;M;nähä teda jälle = ja (...) muud siit eij = ole küll `leidnud kedagi mina (.) ja se aenukke as'i ol'igi
ole;olema;Va;pers.ind.pr.neg.;;eesti;Kesk;Äks;Lammiku;1961;KJ;83;ei_ole;M;tüüt = tehnud (...) muheleb muud ma = ij = ole tehnud nigu `näätte is'i = et ma siin kivi+varemed olen
ole;olema;Va;pers.ind.pr.neg.;;eesti;Kesk;Amb;Kõrveküla;1975;KJ;79;ei_ole;N;läheb enne ruttem `väl'la iga+dahes (...) nohh (...) mina ei ole suitsuga `rohkem ädas siin old kui (.) `piale seda kui
ole;olema;Va;pers.ind.pr.neg.;;eesti;Kesk;Amb;Prümli;1958;KJ;75;ei_ole;N;teene (...) nied prouwa poead (...) ja prouwa eij = ole luband oma mõisas `peksta inimesi (...) siis ärra
ole;olema;Va;pers.ind.pr.neg.;;eesti;Kesk;Amb;Prümli;1958;KJ;75;ei_ole;N;sija `Prümblisse kuol asuttud alles (...) ja `es'tiks eij = ole kool'i+maea old siis onn metsa+vahi tuas käind siis sial (...)
