"Aasta","Maakond","Tulud riigieelarvest","Tulud kohaliku omavalitsuse eelarvest","Kulud kokku","Tööjõukulud","Komplekteerimiskulud","Investeeringud põhivarasse"
"2000","Harju maakond",521.51,2663.41,3207.18,913.58,775.37,782.43
"2000","..Tallinn",264.02,1773.36,2057.51,489.63,430.19,707.12
"2000","Hiiu maakond",21.60,112.55,134.79,70.69,42.05,2.30
"2000","Ida-Viru maakond",309.05,1050.57,1388.90,623.92,433.02,89.46
"2000","Jõgeva maakond",140.62,347.14,493.16,182.95,139.23,52.55
"2000","Järva maakond",431.99,349.59,787.72,197.09,131.34,362.28
"2000","Lääne maakond",99.90,228.17,338.94,136.04,93.59,17.40
"2000","Lääne-Viru maakond",206.22,693.91,906.63,309.76,236.94,196.30
"2000","Põlva maakond",82.43,348.35,438.29,179.60,146.99,20.99
"2000","Pärnu maakond",160.74,604.48,765.66,329.78,255.33,23.97
"2000","Rapla maakond",82.73,347.94,437.60,195.31,135.91,21.28
"2000","Saare maakond",79.50,271.65,363.22,172.72,110.01,10.80
"2000","Tartu maakond",211.29,982.46,1217.67,507.26,308.74,112.74
"2000","Valga maakond",82.96,242.23,323.35,144.02,114.70,2.42
"2000","Viljandi maakond",140.84,598.11,741.91,276.32,188.83,153.52
"2000","Võru maakond",95.31,379.87,508.35,228.08,152.40,30.11
"2001","Harju maakond",458.64,3591.81,4081.12,1175.31,783.25,1573.17
"2001","..Tallinn",261.91,2681.54,2958.28,719.39,432.36,1535.67
"2001","Hiiu maakond",18.21,119.51,145.27,66.47,37.52,16.74
"2001","Ida-Viru maakond",308.60,1182.01,1537.94,668.33,447.36,181.64
"2001","Jõgeva maakond",89.52,374.12,472.01,195.01,147.36,48.59
"2001","Järva maakond",244.16,367.36,614.59,220.06,130.44,102.03
"2001","Lääne maakond",75.84,256.26,340.96,144.75,102.09,15.20
"2001","Lääne-Viru maakond",161.74,668.73,836.53,336.62,237.66,131.09
"2001","Põlva maakond",95.10,368.60,503.43,182.58,147.08,77.32
"2001","Pärnu maakond",257.18,680.91,981.24,354.77,256.73,213.02
