"Aasta","Maakond","Kursused","Keskeriharidus","Kutseharidus","Kõrgharidus"
"2008","Harju maakond",3,5,5,103
"2008","Hiiu maakond",6,8,4,12
"2008","Ida-Viru maakond",2,5,1,11
"2008","Jõgeva maakond",1,5,0,12
"2008","Järva maakond",3,5,0,22
"2008","Lääne maakond",6,7,5,33
"2008","Lääne-Viru maakond",17,39,4,46
"2008","Põlva maakond",3,14,1,27
"2008","Pärnu maakond",21,20,4,55
"2008","Rapla maakond",12,17,5,44
"2008","Saare maakond",1,5,0,24
"2008","Tartu maakond",1,40,0,98
"2008","Valga maakond",1,1,0,3
"2008","Viljandi maakond",11,21,3,23
"2008","Võru maakond",11,31,2,57
"2009","Harju maakond",4,9,0,119
"2009","Hiiu maakond",6,9,1,18
"2009","Ida-Viru maakond",2,6,0,12
"2009","Jõgeva maakond",1,7,0,12
"2009","Järva maakond",3,4,0,25
"2009","Lääne maakond",7,9,0,32
"2009","Lääne-Viru maakond",18,39,0,46
"2009","Põlva maakond",4,13,0,32
"2009","Pärnu maakond",21,21,0,66
"2009","Rapla maakond",13,17,2,48
"2009","Saare maakond",2,9,2,30
"2009","Tartu maakond",2,31,0,111
"2009","Valga maakond",1,0,0,4
"2009","Viljandi maakond",11,19,0,34
"2009","Võru maakond",11,24,1,68
"2010","Harju maakond",14,15,0,169
"2010","Hiiu maakond",6,9,0,18
"2010","Ida-Viru maakond",1,6,0,12
"2010","Jõgeva maakond",1,7,0,11
"2010","Järva maakond",3,4,0,26
"2010","Lääne maakond",7,9,0,32
"2010","Lääne-Viru maakond",17,40,0,56
"2010","Põlva maakond",4,13,0,30
"2010","Pärnu maakond",22,21,0,66
"2010","Rapla maakond",13,17,0,42
"2010","Saare maakond",2,9,0,29
"2010","Tartu maakond",2,35,0,118
"2010","Valga maakond",2,0,0,4
"2010","Viljandi maakond",9,16,0,32
"2010","Võru maakond",10,24,0,71
"2011","Harju maakond",15,23,0,192
"2011","Hiiu maakond",0,12,0,19
"2011","Ida-Viru maakond",4,6,0,11
"2011","Jõgeva maakond",0,8,0,12
"2011","Järva maakond",1,6,0,25
"2011","Lääne maakond",3,9,0,37
"2011","Lääne-Viru maakond",4,36,0,67
"2011","Põlva maakond",6,8,0,25
"2011","Pärnu maakond",3,24,0,73
"2011","Rapla maakond",3,18,0,52
"2011","Saare maakond",2,11,0,31
"2011","Tartu maakond",5,24,0,110
"2011","Valga maakond",1,1,0,4
"2011","Viljandi maakond",6,15,0,40
"2011","Võru maakond",1,26,0,77
"2012","Harju maakond",40,18,0,191
"2012","Hiiu maakond",5,8,1,19
"2012","Ida-Viru maakond",5,6,0,11
"2012","Jõgeva maakond",6,5,0,11
"2012","Järva maakond",8,5,0,24
"2012","Lääne maakond",9,10,0,37
"2012","Lääne-Viru maakond",20,42,0,65
"2012","Põlva maakond",8,13,0,26
"2012","Pärnu maakond",27,19,0,63
"2012","Rapla maakond",13,19,1,52
"2012","Saare maakond",6,10,2,30
"2012","Tartu maakond",11,10,0,111
"2012","Valga maakond",2,0,0,5
"2012","Viljandi maakond",11,16,0,40
"2012","Võru maakond",17,23,1,94
"2013","Harju maakond",39,18,0,190
"2013","Hiiu maakond",4,7,1,18
"2013","Ida-Viru maakond",5,6,0,12
"2013","Jõgeva maakond",6,5,0,12
"2013","Järva maakond",9,5,0,26
"2013","Lääne maakond",9,10,0,37
"2013","Lääne-Viru maakond",19,40,0,65
"2013","Põlva maakond",8,12,0,27
"2013","Pärnu maakond",27,19,0,62
"2013","Rapla maakond",13,19,1,51
"2013","Saare maakond",6,10,2,30
"2013","Tartu maakond",11,32,0,110
"2013","Valga maakond",2,0,0,5
"2013","Viljandi maakond",11,16,0,40
"2013","Võru maakond",16,23,1,94
"2014","Harju maakond",39,20,0,190
"2014","Hiiu maakond",5,5,1,17
"2014","Ida-Viru maakond",5,6,0,12
"2014","Jõgeva maakond",7,5,0,12
"2014","Järva maakond",9,5,0,25
"2014","Lääne maakond",10,9,0,35
"2014","Lääne-Viru maakond",19,38,0,65
"2014","Põlva maakond",9,13,0,30
"2014","Pärnu maakond",27,19,0,62
"2014","Rapla maakond",13,19,1,51
"2014","Saare maakond",6,10,2,33
"2014","Tartu maakond",10,32,0,109
"2014","Valga maakond",2,0,0,5
"2014","Viljandi maakond",11,16,0,40
"2014","Võru maakond",16,24,1,94
"2015","Harju maakond",39,20,0,187
"2015","Hiiu maakond",4,5,1,18
"2015","Ida-Viru maakond",5,6,0,12
"2015","Jõgeva maakond",7,5,0,15
"2015","Järva maakond",9,5,0,25
"2015","Lääne maakond",10,10,0,38
"2015","Lääne-Viru maakond",16,35,0,59
"2015","Põlva maakond",9,13,0,32
"2015","Pärnu maakond",25,18,0,64
"2015","Rapla maakond",12,18,1,55
"2015","Saare maakond",6,12,2,35
"2015","Tartu maakond",10,28,0,108
"2015","Valga maakond",2,0,0,7
"2015","Viljandi maakond",11,16,0,38
"2015","Võru maakond",16,22,1,94
"2016","Harju maakond",42,21,0,196
"2016","Hiiu maakond",4,5,1,18
"2016","Ida-Viru maakond",5,6,0,12
"2016","Jõgeva maakond",7,5,0,15
"2016","Järva maakond",9,5,0,25
"2016","Lääne maakond",10,11,0,36
"2016","Lääne-Viru maakond",16,36,0,62
"2016","Põlva maakond",9,13,0,32
"2016","Pärnu maakond",25,18,0,66
"2016","Rapla maakond",13,18,1,56
"2016","Saare maakond",7,12,2,37
"2016","Tartu maakond",11,26,0,106
"2016","Valga maakond",2,1,0,7
"2016","Viljandi maakond",11,15,0,37
"2016","Võru maakond",15,27,1,100
"2017","Harju maakond",45,21,0,215
"2017","Hiiu maakond",5,5,1,16
"2017","Ida-Viru maakond",5,6,0,36
"2017","Jõgeva maakond",7,5,0,14
"2017","Järva maakond",11,6,0,27
"2017","Lääne maakond",10,11,0,36
"2017","Lääne-Viru maakond",20,39,0,74
"2017","Põlva maakond",8,13,0,32
"2017","Pärnu maakond",25,18,0,72
"2017","Rapla maakond",11,18,1,56
"2017","Saare maakond",12,29,3,85
"2017","Tartu maakond",11,26,0,108
"2017","Valga maakond",2,2,0,9
"2017","Viljandi maakond",13,21,0,46
"2017","Võru maakond",17,38,3,136
"2018","Harju maakond",45,21,0,216
"2018","Hiiu maakond",5,4,1,14
"2018","Ida-Viru maakond",5,6,0,35
"2018","Jõgeva maakond",7,5,0,15
"2018","Järva maakond",8,4,0,19
"2018","Lääne maakond",8,11,0,28
