"Maakond","Vanuserühm","Murdekeele oskus","Mehed Peab omaks mõnd usku","Mehed Luterlane","Mehed Õigeusklik","Mehed Maausuline","Mehed Baptist","Mehed Jehoova tunnistaja","Mehed Taarausuline","Mehed Kristlikud vabakogudused","Mehed Budist","Mehed Eristamata kristlane","Mehed Katoliiklane","Mehed Nelipühilane","Mehed Muu usk","Mehed Usk teadmata","Mehed Ei pea omaks ühtegi usku","Mehed Ei soovinud vastata","Mehed Suhe religiooni teadmata","Naised Peab omaks mõnd usku","Naised Luterlane","Naised Õigeusklik","Naised Maausuline","Naised Baptist","Naised Jehoova tunnistaja","Naised Taarausuline","Naised Kristlikud vabakogudused","Naised Budist","Naised Eristamata kristlane","Naised Katoliiklane","Naised Nelipühilane","Naised Muu usk","Naised Usk teadmata","Naised Ei pea omaks ühtegi usku","Naised Ei soovinud vastata","Naised Suhe religiooni teadmata"
"Harju maakond","15-29","Oskab mõnda murret",307,176,41,12,5,5,9,5,11,4,3,3,31,2,1489,314,3,519,336,68,13,13,3,3,9,10,10,3,6,36,9,1675,445,2
"Harju maakond","15-29","..idamurre",4,1,0,0,0,0,0,0,1,0,0,0,2,0,8,8,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,4,9,0
"Harju maakond","15-29","..keskmurre",3,2,0,0,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harju maakond","15-29","..läänemurre",3,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
"Harju maakond","15-29","..Mulgi murre",12,6,1,0,0,0,4,0,0,0,0,0,1,0,73,14,0,19,14,0,1,0,0,0,1,0,0,0,0,1,2,63,24,0
"Harju maakond","15-29","..rannikumurre",5,3,1,0,0,0,0,0,0,0,0,0,1,0,12,1,0,9,5,2,1,0,0,0,0,0,0,0,0,1,0,7,2,0
"Harju maakond","15-29","..saarte murre",110,72,10,2,3,2,1,3,1,3,2,1,9,1,549,125,1,201,131,17,4,11,1,0,3,5,5,1,3,16,4,634,173,0
"Harju maakond","15-29","....Kihnu murrak",5,2,3,0,0,0,0,0,0,0,0,0,0,0,14,5,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,13,8,0
"Harju maakond","15-29","..Tartu murre",4,0,0,2,0,0,0,0,1,1,0,0,0,0,16,3,0,6,4,0,0,0,0,0,0,0,0,0,0,2,0,6,2,0
"Harju maakond","15-29","..Võru murre",162,90,27,8,1,3,3,2,7,0,1,2,17,1,800,148,2,275,174,49,7,2,2,3,5,5,5,2,3,15,3,937,227,1
"Harju maakond","15-29","....Setu murrak",32,9,13,1,0,1,2,0,0,0,0,0,6,0,97,34,1,62,20,32,2,0,0,0,1,1,1,2,0,2,1,138,40,0
"Harju maakond","15-29","..oskab murret, kuid täpne murre teadmata",4,2,1,0,0,0,0,0,0,0,0,0,1,0,27,10,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,20,7,1
"Harju maakond","15-29","....Põhja-Eesti murre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"Harju maakond","15-29","....Lõuna-Eesti murre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Harju maakond","15-29","Ei oska murdeid",2411,1344,340,42,95,44,29,59,33,49,54,39,227,56,24349,4831,45,3642,2331,486,30,146,52,9,93,43,62,82,52,193,63,24064,5133,26
"Harju maakond","15-29","Murdekeele oskus teadmata",4,2,1,0,0,1,0,0,0,0,0,0,0,0,4,10,1053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1003
"Harju maakond","30-49","Oskab mõnda murret",1234,754,142,63,15,11,34,19,32,18,14,16,89,27,3142,892,3,1551,1034,215,36,28,25,14,26,23,20,31,12,71,16,2795,1065,6
"Harju maakond","30-49","..idamurre",15,6,1,2,1,0,2,0,0,0,0,0,2,1,19,4,0,12,10,1,0,0,0,1,0,0,0,0,0,0,0,17,6,0
"Harju maakond","30-49","..keskmurre",4,0,0,1,0,0,1,0,1,0,0,0,1,0,7,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,0
"Harju maakond","30-49","..läänemurre",4,2,1,1,0,0,0,0,0,0,0,0,0,0,10,8,0,15,10,0,1,1,1,0,0,0,0,0,0,0,2,9,3,0
"Harju maakond","30-49","..Mulgi murre",89,50,8,5,1,0,4,1,4,0,0,1,13,2,191,58,0,98,63,6,5,3,3,0,4,5,4,2,1,1,1,189,65,0
"Harju maakond","30-49","..rannikumurre",20,12,2,2,0,0,3,0,0,0,1,0,0,0,32,8,0,25,17,0,2,0,0,1,1,2,0,0,0,1,1,24,13,2
"Harju maakond","30-49","..saarte murre",344,223,28,13,5,0,11,7,4,4,5,7,26,11,932,236,0,448,312,51,9,12,7,6,4,3,7,6,4,23,4,713,286,2
"Harju maakond","30-49","....Kihnu murrak",11,2,4,1,0,0,1,0,0,0,0,0,3,0,23,5,0,7,1,5,0,0,0,0,0,0,0,0,0,1,0,19,6,0
"Harju maakond","30-49","..Tartu murre",29,17,2,3,0,0,0,3,1,0,0,0,2,1,46,10,0,27,20,1,2,0,0,1,0,0,1,1,0,1,0,66,25,0
"Harju maakond","30-49","..Võru murre",711,430,100,35,8,11,13,8,22,14,8,8,42,12,1834,540,3,898,586,153,14,11,14,5,17,13,7,21,6,43,8,1717,634,2
"Harju maakond","30-49","....Setu murrak",150,59,61,9,0,1,4,1,3,1,0,2,7,2,235,85,1,168,53,89,4,4,1,1,2,2,0,3,2,6,1,244,105,0
"Harju maakond","30-49","..oskab murret, kuid täpne murre teadmata",18,14,0,1,0,0,0,0,0,0,0,0,3,0,71,24,0,26,16,3,1,1,0,0,0,0,1,1,1,2,0,54,32,0
"Harju maakond","30-49","....Põhja-Eesti murre",4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,6,3,1,1,0,0,0,0,0,0,0,0,1,0,5,4,0
"Harju maakond","30-49","....Lõuna-Eesti murre",2,1,0,0,0,0,0,0,0,0,0,0,1,0,17,3,0,7,5,1,0,0,0,0,0,0,0,0,0,1,0,16,8,0
"Harju maakond","30-49","Ei oska murdeid",5747,3722,582,142,144,55,71,128,125,100,118,77,354,129,29962,6576,61,8525,6043,776,106,289,105,30,200,118,87,175,105,349,142,27418,7943,43
