Aasta;Maakond;Juhendaja_haridus;Arv
2008;Harju maakond;Kursused;3
2008;Hiiu maakond;Kursused;6
2008;Ida-Viru maakond;Kursused;2
2008;Jõgeva maakond;Kursused;1
2008;Järva maakond;Kursused;3
2008;Lääne maakond;Kursused;6
2008;Lääne-Viru maakond;Kursused;17
2008;Põlva maakond;Kursused;3
2008;Pärnu maakond;Kursused;21
2008;Rapla maakond;Kursused;12
2008;Saare maakond;Kursused;1
2008;Tartu maakond;Kursused;1
2008;Valga maakond;Kursused;1
2008;Viljandi maakond;Kursused;11
2008;Võru maakond;Kursused;11
2009;Harju maakond;Kursused;4
2009;Hiiu maakond;Kursused;6
2009;Ida-Viru maakond;Kursused;2
2009;Jõgeva maakond;Kursused;1
2009;Järva maakond;Kursused;3
2009;Lääne maakond;Kursused;7
2009;Lääne-Viru maakond;Kursused;18
2009;Põlva maakond;Kursused;4
2009;Pärnu maakond;Kursused;21
2009;Rapla maakond;Kursused;13
2009;Saare maakond;Kursused;2
2009;Tartu maakond;Kursused;2
2009;Valga maakond;Kursused;1
2009;Viljandi maakond;Kursused;11
2009;Võru maakond;Kursused;11
2010;Harju maakond;Kursused;14
2010;Hiiu maakond;Kursused;6
2010;Ida-Viru maakond;Kursused;1
2010;Jõgeva maakond;Kursused;1
2010;Järva maakond;Kursused;3
2010;Lääne maakond;Kursused;7
2010;Lääne-Viru maakond;Kursused;17
2010;Põlva maakond;Kursused;4
2010;Pärnu maakond;Kursused;22
2010;Rapla maakond;Kursused;13
2010;Saare maakond;Kursused;2
2010;Tartu maakond;Kursused;2
2010;Valga maakond;Kursused;2
2010;Viljandi maakond;Kursused;9
2010;Võru maakond;Kursused;10
2011;Harju maakond;Kursused;15
2011;Hiiu maakond;Kursused;0
2011;Ida-Viru maakond;Kursused;4
2011;Jõgeva maakond;Kursused;0
2011;Järva maakond;Kursused;1
2011;Lääne maakond;Kursused;3
2011;Lääne-Viru maakond;Kursused;4
2011;Põlva maakond;Kursused;6
2011;Pärnu maakond;Kursused;3
2011;Rapla maakond;Kursused;3
2011;Saare maakond;Kursused;2
2011;Tartu maakond;Kursused;5
2011;Valga maakond;Kursused;1
2011;Viljandi maakond;Kursused;6
2011;Võru maakond;Kursused;1
2012;Harju maakond;Kursused;40
2012;Hiiu maakond;Kursused;5
2012;Ida-Viru maakond;Kursused;5
2012;Jõgeva maakond;Kursused;6
2012;Järva maakond;Kursused;8
2012;Lääne maakond;Kursused;9
2012;Lääne-Viru maakond;Kursused;20
2012;Põlva maakond;Kursused;8
2012;Pärnu maakond;Kursused;27
2012;Rapla maakond;Kursused;13
2012;Saare maakond;Kursused;6
2012;Tartu maakond;Kursused;11
2012;Valga maakond;Kursused;2
2012;Viljandi maakond;Kursused;11
2012;Võru maakond;Kursused;17
2013;Harju maakond;Kursused;39
2013;Hiiu maakond;Kursused;4
2013;Ida-Viru maakond;Kursused;5
2013;Jõgeva maakond;Kursused;6
2013;Järva maakond;Kursused;9
2013;Lääne maakond;Kursused;9
2013;Lääne-Viru maakond;Kursused;19
2013;Põlva maakond;Kursused;8
2013;Pärnu maakond;Kursused;27
2013;Rapla maakond;Kursused;13
2013;Saare maakond;Kursused;6
2013;Tartu maakond;Kursused;11
2013;Valga maakond;Kursused;2
2013;Viljandi maakond;Kursused;11
2013;Võru maakond;Kursused;16
2014;Harju maakond;Kursused;39
2014;Hiiu maakond;Kursused;5
2014;Ida-Viru maakond;Kursused;5
