Maakond;Vanuserühm;Murdekeele.oskus;Usk;Arv;Sugu
Harju maakond;15-29;Oskab mõnda murret;Peab.omaks.mõnd.usku;307;Mees
Harju maakond;15-29;idamurre;Peab.omaks.mõnd.usku;4;Mees
Harju maakond;15-29;keskmurre;Peab.omaks.mõnd.usku;3;Mees
Harju maakond;15-29;läänemurre;Peab.omaks.mõnd.usku;3;Mees
Harju maakond;15-29;Mulgi murre;Peab.omaks.mõnd.usku;12;Mees
Harju maakond;15-29;rannikumurre;Peab.omaks.mõnd.usku;5;Mees
Harju maakond;15-29;saarte murre;Peab.omaks.mõnd.usku;110;Mees
Harju maakond;15-29;Kihnu murrak;Peab.omaks.mõnd.usku;5;Mees
Harju maakond;15-29;Tartu murre;Peab.omaks.mõnd.usku;4;Mees
Harju maakond;15-29;Võru murre;Peab.omaks.mõnd.usku;162;Mees
Harju maakond;15-29;Setu murrak;Peab.omaks.mõnd.usku;32;Mees
Harju maakond;15-29;oskab murret, kuid täpne murre teadmata;Peab.omaks.mõnd.usku;4;Mees
Harju maakond;15-29;Põhja-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Harju maakond;15-29;Lõuna-Eesti murre;Peab.omaks.mõnd.usku;0;Mees
Harju maakond;15-29;Ei oska murdeid;Peab.omaks.mõnd.usku;2411;Mees
Harju maakond;15-29;Murdekeele oskus teadmata;Peab.omaks.mõnd.usku;4;Mees
Harju maakond;30-49;Oskab mõnda murret;Peab.omaks.mõnd.usku;1234;Mees
Harju maakond;30-49;idamurre;Peab.omaks.mõnd.usku;15;Mees
Harju maakond;30-49;keskmurre;Peab.omaks.mõnd.usku;4;Mees
Harju maakond;30-49;läänemurre;Peab.omaks.mõnd.usku;4;Mees
Harju maakond;30-49;Mulgi murre;Peab.omaks.mõnd.usku;89;Mees
Harju maakond;30-49;rannikumurre;Peab.omaks.mõnd.usku;20;Mees
Harju maakond;30-49;saarte murre;Peab.omaks.mõnd.usku;344;Mees
Harju maakond;30-49;Kihnu murrak;Peab.omaks.mõnd.usku;11;Mees
