ID	Hind	Tube	Üldpind	Seisukord	Ehitusaasta	Aadress	Aasta
1383645	20000	4	139	Vajab renoveerimist	1935	Käru Käru vald Raplamaa	2013
1388362	165000	5	185	Uus	2006	Kääri tee Lähtse Kiili vald Harjumaa	2013
1437753	78000	3	82	NA	2001	Erastvere Kanepi vald Põlvamaa	2013
1441906	211000	9	350	Renoveeritud	1994	Koorti 21  Ihaste Tartu Tartumaa	2013
1446177	115000	3	300	Renoveeritud	2009	Kurista Võnnu vald Tartumaa	2013
1477198	169000	5	162.9	Uus	2010	Kuu tee Juuliku Saku vald Harjumaa	2013
1503192	37500	4	178	Uus	2009	Tamulakalda tn. 6 Võru linna piiril Võru Võrumaa	2013
1504311	465000	12	444	Renoveeritud	1922	Rüütli 24 Pärnu Pärnumaa	2013
1524902	95000	6	227.7	Uus	2003	Lennu Laane Ülenurme vald Tartumaa	2013
1527915	190000	5	NA	Keskmine	1992	Illi Nõo vald Tartumaa	2013
1541242	169000	2	NA	Uus	2009	Veehoidla põik 3 -  Randvere Viimsi vald Harjumaa	2013
1545762	287600	3	178	Uus	2007	 Rae Rae vald Harjumaa	2013
1546095	136000	6	309	Keskmine	1985	Kesa 41 Variku Tartu Tartumaa	2013
1553961	25000	5	71	Keskmine	1961	Kuusiku 8 Kiviõli Ida-Virumaa	2013
1562316	53500	8	NA	Keskmine	1988	Vasula tee Pihlaka Kõrveküla Tartu vald Tartumaa	2013
1567164	35000	5	112	Keskmine	1956	Kitzbergi Püssi Lüganuse vald Ida-Virumaa	2013
1567576	130000	3	NA	Renoveeritud	1890	Valgma Paide vald Järvamaa	2013
1573932	25000	4	NA	Vajab san. remonti	1965	Kopli Kohtla-Nõmme Kohtla-Nõmme vald Ida-Virumaa	2013
1579375	125500	4	112	Keskmine	1935	Suur-Liiva Haapsalu Läänemaa	2013
1603643	85000	3	160	Renoveeritud	1980	Heina põik Võru Võrumaa	2013
1633559	520000	NA	300	Uus	2008	Kakumäe tee 219 Haabersti Tallinn Harjumaa	2013
1636847	148000	4	127	Renoveeritud	2003	Mesika põik 5 Pirita Tallinn Harjumaa	2013
1639965	105000	4	137	Uus	2008	Pihla tee Laadi Tahkuranna vald Pärnumaa	2013
1639976	190000	4	199	Uus	2015	Vesikupu tee Uuemetsa elurajoon Tammiste Sauga vald Pärnumaa	2013
1639983	105000	4	120	Uus	2005	Kivialliku tee Reiu Tahkuranna vald Pärnumaa	2013
1640563	760000	17	1000	NA	1993	Vikerkaare 17 Nõmme Nõmme Tallinn Harjumaa	2013
1683684	175000	6	242	Uus	2004	Allika Kiili Kiili Kiili vald Harjumaa	2013
1684732	3e+05	4	180	Uus	2008	Pihkva Mustvee Jõgevamaa	2013
1684855	43000	5	171.3	Uus	2008	Pihkva Mustvee Jõgevamaa	2013
1686685	39000	4	91.6	Uus	2007	Jürivärava Kantsi Muhu vald Saaremaa	2013
1696610	149000	4	120	Uus	2009	Linnu tee Tartu Tartumaa	2013
1696657	249900	6	142.2	NA	2001	Särjesilma Kakumäe Haabersti Tallinn Harjumaa	2013
1698471	10800	5	NA	Uus	2011	Põlva vald Põlvamaa	2013
1700638	170000	5	192	Uus	2008	Kuuskmetsa tee 6 Kasemäe Ääsmäe Saue vald Harjumaa	2013
1703415	19900	2	70	Keskmine	1958	Väinjärve Koeru vald Järvamaa	2013
1703977	65000	4	120	Renoveeritud	1939	Lammasküla tee Rakke Rakke vald Lääne-Virumaa	2013
1704165	3500	3	NA	Vajab renoveerimist	1911	Pärna  Antsla Antsla vald Võrumaa	2013
