Aadress	ID
Käru Käru vald Raplamaa	1383645
Kääri tee Lähtse Kiili vald Harjumaa	1388362
Erastvere Kanepi vald Põlvamaa	1437753
Koorti 21  Ihaste Tartu Tartumaa	1441906
Kurista Võnnu vald Tartumaa	1446177
Kuu tee Juuliku Saku vald Harjumaa	1477198
Tamulakalda tn. 6 Võru linna piiril Võru Võrumaa	1503192
Rüütli 24 Pärnu Pärnumaa	1504311
Lennu Laane Ülenurme vald Tartumaa	1524902
Illi Nõo vald Tartumaa	1527915
Veehoidla põik 3 -  Randvere Viimsi vald Harjumaa	1541242
 Rae Rae vald Harjumaa	1545762
Kesa 41 Variku Tartu Tartumaa	1546095
Kuusiku 8 Kiviõli Ida-Virumaa	1553961
Vasula tee Pihlaka Kõrveküla Tartu vald Tartumaa	1562316
Kitzbergi Püssi Lüganuse vald Ida-Virumaa	1567164
Valgma Paide vald Järvamaa	1567576
Kopli Kohtla-Nõmme Kohtla-Nõmme vald Ida-Virumaa	1573932
Suur-Liiva Haapsalu Läänemaa	1579375
Heina põik Võru Võrumaa	1603643
Kakumäe tee 219 Haabersti Tallinn Harjumaa	1633559
Mesika põik 5 Pirita Tallinn Harjumaa	1636847
Pihla tee Laadi Tahkuranna vald Pärnumaa	1639965
Vesikupu tee Uuemetsa elurajoon Tammiste Sauga vald Pärnumaa	1639976
Kivialliku tee Reiu Tahkuranna vald Pärnumaa	1639983
Vikerkaare 17 Nõmme Nõmme Tallinn Harjumaa	1640563
Allika Kiili Kiili Kiili vald Harjumaa	1683684
Pihkva Mustvee Jõgevamaa	1684732
Pihkva Mustvee Jõgevamaa	1684855
Jürivärava Kantsi Muhu vald Saaremaa	1686685
Linnu tee Tartu Tartumaa	1696610
Särjesilma Kakumäe Haabersti Tallinn Harjumaa	1696657
Põlva vald Põlvamaa	1698471
Kuuskmetsa tee 6 Kasemäe Ääsmäe Saue vald Harjumaa	1700638
Väinjärve Koeru vald Järvamaa	1703415
Lammasküla tee Rakke Rakke vald Lääne-Virumaa	1703977
Pärna  Antsla Antsla vald Võrumaa	1704165
Lodjapuu tee 23 Pirita Tallinn Harjumaa	1711456
Kabli Penu Häädemeeste vald Pärnumaa	1720146
Paasvere Laekvere vald Lääne-Virumaa	1721648
Taludevahe 54 Haabersti Tallinn Harjumaa	1725280
Kalda Tõrva Valgamaa	1726486
Hatiku Mammaste Põlva vald Põlvamaa	1726636
Põllu 2 Turba Nissi vald Harjumaa	1727022
Zabava kinnistu Beresje Mikitamäe vald Põlvamaa	1727960
Koreli Võru Võrumaa	1728981
Kase Urge Kohila vald Raplamaa	1729930
Halliste Halliste vald Viljandimaa	1731783
Männimäe Laitse Kernu vald Harjumaa	1733209
