ID	Hind	Tube	Üldpind	Seisukord	Ehitusaasta	Aadress	Aasta	Maakond
1383645	20000	4	139	Vajab renoveerimist	1935	Käru Käru vald Raplamaa	2013	Raplamaa
1437753	78000	3	82	NA	2001	Erastvere Kanepi vald Põlvamaa	2013	Põlvamaa
1441906	211000	9	350	Renoveeritud	1994	Koorti 21  Ihaste Tartu Tartumaa	2013	Tartumaa
1446177	115000	3	300	Renoveeritud	2009	Kurista Võnnu vald Tartumaa	2013	Tartumaa
1503192	37500	4	178	Uus	2009	Tamulakalda tn. 6 Võru linna piiril Võru Võrumaa	2013	Võrumaa
1504311	465000	12	444	Renoveeritud	1922	Rüütli 24 Pärnu Pärnumaa	2013	Pärnumaa
1524902	95000	6	227.7	Uus	2003	Lennu Laane Ülenurme vald Tartumaa	2013	Tartumaa
1527915	190000	5	NA	Keskmine	1992	Illi Nõo vald Tartumaa	2013	Tartumaa
1546095	136000	6	309	Keskmine	1985	Kesa 41 Variku Tartu Tartumaa	2013	Tartumaa
1553961	25000	5	71	Keskmine	1961	Kuusiku 8 Kiviõli Ida-Virumaa	2013	Ida-Virumaa
1562316	53500	8	NA	Keskmine	1988	Vasula tee Pihlaka Kõrveküla Tartu vald Tartumaa	2013	Tartumaa
1567164	35000	5	112	Keskmine	1956	Kitzbergi Püssi Lüganuse vald Ida-Virumaa	2013	Ida-Virumaa
1567576	130000	3	NA	Renoveeritud	1890	Valgma Paide vald Järvamaa	2013	Järvamaa
1573932	25000	4	NA	Vajab san. remonti	1965	Kopli Kohtla-Nõmme Kohtla-Nõmme vald Ida-Virumaa	2013	Ida-Virumaa
1579375	125500	4	112	Keskmine	1935	Suur-Liiva Haapsalu Läänemaa	2013	Läänemaa
1603643	85000	3	160	Renoveeritud	1980	Heina põik Võru Võrumaa	2013	Võrumaa
1639965	105000	4	137	Uus	2008	Pihla tee Laadi Tahkuranna vald Pärnumaa	2013	Pärnumaa
1639976	190000	4	199	Uus	2015	Vesikupu tee Uuemetsa elurajoon Tammiste Sauga vald Pärnumaa	2013	Pärnumaa
