Aadress	ID
Käru Käru vald Raplamaa	1383645
Erastvere Kanepi vald Põlvamaa	1437753
Koorti 21  Ihaste Tartu Tartumaa	1441906
Kurista Võnnu vald Tartumaa	1446177
Tamulakalda tn. 6 Võru linna piiril Võru Võrumaa	1503192
Rüütli 24 Pärnu Pärnumaa	1504311
Lennu Laane Ülenurme vald Tartumaa	1524902
Illi Nõo vald Tartumaa	1527915
Kesa 41 Variku Tartu Tartumaa	1546095
Kuusiku 8 Kiviõli Ida-Virumaa	1553961
Vasula tee Pihlaka Kõrveküla Tartu vald Tartumaa	1562316
Kitzbergi Püssi Lüganuse vald Ida-Virumaa	1567164
Valgma Paide vald Järvamaa	1567576
Kopli Kohtla-Nõmme Kohtla-Nõmme vald Ida-Virumaa	1573932
Suur-Liiva Haapsalu Läänemaa	1579375
Heina põik Võru Võrumaa	1603643
Pihla tee Laadi Tahkuranna vald Pärnumaa	1639965
Vesikupu tee Uuemetsa elurajoon Tammiste Sauga vald Pärnumaa	1639976
Kivialliku tee Reiu Tahkuranna vald Pärnumaa	1639983
Pihkva Mustvee Jõgevamaa	1684732
Pihkva Mustvee Jõgevamaa	1684855
Jürivärava Kantsi Muhu vald Saaremaa	1686685
Linnu tee Tartu Tartumaa	1696610
Põlva vald Põlvamaa	1698471
Väinjärve Koeru vald Järvamaa	1703415
Lammasküla tee Rakke Rakke vald Lääne-Virumaa	1703977
Pärna  Antsla Antsla vald Võrumaa	1704165
Kabli Penu Häädemeeste vald Pärnumaa	1720146
Paasvere Laekvere vald Lääne-Virumaa	1721648
Kalda Tõrva Valgamaa	1726486
Hatiku Mammaste Põlva vald Põlvamaa	1726636
Zabava kinnistu Beresje Mikitamäe vald Põlvamaa	1727960
Koreli Võru Võrumaa	1728981
Kase Urge Kohila vald Raplamaa	1729930
Halliste Halliste vald Viljandimaa	1731783
Vahe tee Nõo vald Tartumaa	1734613
 Jõeveere Veriora vald Põlvamaa	1734955
Ruskavere Saare vald Jõgevamaa	1739703
Valgjärve Valgjärve vald Põlvamaa	1742818
Mustla Tarvastu vald Viljandimaa	1742854
Loo 4 Rapla Rapla vald Raplamaa	1743170
Päikese tee Urge Kohila vald Raplamaa	1744380
Enelase 20 Tartu Tartumaa	1747597
Räpina Räpina vald Põlvamaa	1747885
Mündi 1 Võru Võrumaa	1748485
Tamme põik 20 Tammelinn Tartu Tartumaa	1751528
Kopli 13 Haapsalu Läänemaa	1752240
Paruni 37 Ülenurme Ülenurme vald Tartumaa	1753143
Tartu 89 Mustvee Jõgevamaa	1761302
Ute Lemmatsi Ülenurme vald Tartumaa	1762697
Kabala Türi vald Järvamaa	1764426
Viluste Veriora vald Põlvamaa	1767394
Palkmaja Palkmaja Muhu vald Saaremaa	1767935
Enelase Soinaste Ülenurme vald Tartumaa	1768795
Mõisa 3 Ervita Koeru vald Järvamaa	1769498
Sääsevaba Sava Luunja vald Tartumaa	1773489
Katku Mõhküla Põltsamaa vald Jõgevamaa	1773851
Kõik on valmis tule ja ela Kubija Oksa tn.  Võru Võrumaa	1780851
Haavakannu tee 19 Rahinge Tähtvere vald Tartumaa	1785458
Elva Tartumaa	1788743
Nõela tn. 18 Aespa Kohila vald Raplamaa	1789350
Sipelga Räni Ülenurme vald Tartumaa	1790186
Võõpsu Räpina vald Põlvamaa	1791391
Tallinn Rapla Purila Kuusiku Sauna Kuku Rapla vald Raplamaa	1792495
Linnujaama Lao Tõstamaa vald Pärnumaa	1794430
Maramaa Tartu vald Tartumaa	1800064
Tõrva Valgamaa	1802641
Kinksepa Lüllemäe Karula vald Valgamaa	1820221
Pallase pst 123 Ihaste Tartu Tartumaa	1823709
Kruusa 8 Rakvere Lääne-Virumaa	1837785
Peetri talu Käbiküla Kehtna Kehtna vald Raplamaa	1840529
Salu 9 Põlva Põlva vald Põlvamaa	1902532
Niidu Jõgeva Jõgevamaa	1903696
Vassevere Saare vald Jõgevamaa	1904521
saare 7 Kaerepere Kehtna vald Raplamaa	1905963
 4 Tamsalu Tamsalu vald Lääne-Virumaa	1907565
Karja 1 Parksepa Võru vald Võrumaa	1907978
Tuule Soinaste Ülenurme vald Tartumaa	1909902
Parkali 18 Simuna Väike-Maarja vald Lääne-Virumaa	1911313
Köödre Ristivälja Käina vald Hiiumaa	1912938
Lille tn 9 Otepää Otepää vald Valgamaa	1913495
Oru-Põik 6 Antsla Antsla Antsla vald Võrumaa	1915889
