Aadress	ID
Kannistiku 1 Lemmatsi Ülenurme vald Tartumaa	1300000
Kuuse 21 Haapsalu Läänemaa	1300014
Jaama 3 Jõgeva Jõgevamaa	1300070
Tuigo tee Mõra Haaslava vald Tartumaa	1300072
Siimusti Siimusti Jõgeva vald Jõgevamaa	1300205
Põllu Põltsamaa Jõgevamaa	1300216
Sõpruse 125 Kasepää Kasepää vald Jõgevamaa	1300229
Sangviini 12  Ihaste Tartu Tartumaa	1300401
Jõekääru Saunja Saunja Lääne-Nigula vald Läänemaa	1300402
Miku tee 6 Laadi Tahkuranna vald Pärnumaa	1300407
Kuldnoka tee 5 Püünsi Viimsi vald Harjumaa	1300499
Ravila 12 Kuressaare Saaremaa	1301483
 Masinaehitaja Vääna-Jõesuu Harku vald Harjumaa	1301489
   Randvere Viimsi vald Harjumaa	1301494
Vajangu Vajangu Tamsalu vald Lääne-Virumaa	1301701
Tööstuse Rakke Rakke vald Lääne-Virumaa	1301727
Kivijäneste 1  Letipea Viru-Nigula vald Lääne-Virumaa	1301791
Marientali tee Kuressaare Saaremaa	1301816
Pihlamarja 4 Muuga Viimsi vald Harjumaa	1301838
Võru mnt Ropka Tartu Tartumaa	1301841
Aasa Tõrvandi Ülenurme vald Tartumaa	1301894
Liivi talu Kõdesi Alatskivi vald Tartumaa	1301926
Taara 35A  Tapa Tapa vald Lääne-Virumaa	1301936
Paju tee 22 Juuliku Saku vald Harjumaa	1302010
Aü Paltus Keila-Joa Türisalu Harku vald Harjumaa	1302099
Järtsaare Kolga-Jaani vald Viljandimaa	1302137
Kalda 40 Otepää Otepää vald Valgamaa	1302170
 Nõmmeringi 17 Vahi Tartu vald Tartumaa	1302173
Karukella tee 2 Veskimöldre Nõmme Tallinn Harjumaa	1302181
Veega Pivarootsi Pivarootsi Hanila vald Läänemaa	1302211
Inturist 10 Vääna-Jõesuu Harku vald Harjumaa	1302261
N.Lunini Maarjamõisa Tartu Tartumaa	1302279
Suurekivi põik 27b Peetri Rae vald Harjumaa	1302353
Nimetu Rannaküla Rannaküla Nõva vald Läänemaa	1302355
Võrgukuur Rannaküla Rannaküla Nõva vald Läänemaa	1302364
Kelluka talu Kadaka küla Lagedi Rae vald Harjumaa	1302381
Tammelinn Tartu Tartumaa	1302383
Kesk-Kaare 26 Pärnamäe Viimsi vald Harjumaa	1302446
Nurmenuku 36 Keila Harjumaa	1302646
Mägiotsa Räpina vald Põlvamaa	1302717
Viimsi tee 42 Kena vaade lahele Pirita Tallinn Harjumaa	1302784
Merimetsa 105 Pärnu Pärnumaa	1302899
Sõlme 17 sõlme Nõmme Tallinn Harjumaa	1302980
- 21 Vanalinn Tallinn Harjumaa	1303101
 Masinaehitaja Vääna-Jõesuu Harku vald Harjumaa	1303121
Kivi Rausvere Illuka vald Ida-Virumaa	1303162
Pällu Saare vald Jõgevamaa	1303245
Veski tee Kallasmäe V Maardu Jõelähtme vald Harjumaa	1303284
Jüri Võru Võrumaa	1303326
Tulbi 7 Kilksama Sauga vald Pärnumaa	1303374
Erastvere Kanepi vald Põlvamaa	1303418
Hiiu-Maleva 15 Nõmme Tallinn Harjumaa	1303494
Paju tee 2 Juuliku Saku vald Harjumaa	1303509
Hiiu-Maleva 15 Nõmme Tallinn Harjumaa	1303510
Aespa Kiisa Saku vald Harjumaa	1303563
Listaku 0 + garaaž ja (täiskelder kamin) Lasva vald Võrumaa	1303569
Põhja 2a Risti Lääne-Nigula vald Läänemaa	1303576
Kadakamarja tee Adra Harku vald Harjumaa	1303585
Põllu 4 Mustla Tarvastu vald Viljandimaa	1303776
Uisu Virtsu Virtsu Hanila vald Läänemaa	1304044
Kehra mnt 19 Kose Kose vald Harjumaa	1304094
Jürihansu Suurküla Padise vald Harjumaa	1304130
Peetrimäe Keila Harjumaa	1304131
Kaarli tee 20 Vilivere Kohila vald Raplamaa	1304137
Riisika 7 Nõmme Tallinn Harjumaa	1304217
Kaval-Antsu 6 Räni Ülenurme vald Tartumaa	1304263
Mäe Põltsamaa Jõgevamaa	1304442
Metsa 23 Kuusalu Kuusalu vald Harjumaa	1304487
Andrekse tee Merivälja Tallinn Harjumaa	1304548
Kuusemetsa Saue Harjumaa	1304576
Piibelehe Keila Harjumaa	1304723
Alev Kanepi Kanepi Kanepi vald Põlvamaa	1304749
Heki tee Jõeääre Haaslava Haaslava vald Tartumaa	1304768
Kingu Luunja Luunja Luunja vald Tartumaa	1304824
Nurga Kaerepere Kehtna vald Raplamaa	1304859
Haljandi Variku Nõva vald Läänemaa	1304879
Kase 18 Laulasmaa Keila vald Harjumaa	1304912
Tähepaju tee 7 Oru Kose vald Harjumaa	1305018
Võhandu 5 A Broneeritud  Räpina Räpina vald Põlvamaa	1305032
Kase Sooaluste Kehtna vald Raplamaa	1305035
 Uniküla Õru vald Valgamaa	1305691
  Jüri Võru Võrumaa	1305713
Alajõe vald Ida-Virumaa	1305846
Laeva 5 Laeva Laeva vald Tartumaa	1305924
Suurekivi põik Rootsiküla Peetri Rae vald Harjumaa	1305983
 6 Türisalu Harku vald Harjumaa	1306010
Kanarbiku Lohusalu Keila vald Harjumaa	1306209
 1 Rabasauna Maeru Keila vald Harjumaa	1306307
Kuuse  Lagedi Rae vald Harjumaa	1306312
Mäe Palamuse Palamuse Palamuse vald Jõgevamaa	1306314
 Türisalu Harku vald Harjumaa	1306315
 1 Rabasauna Nahkjala Keila vald Harjumaa	1306316
Väike-pangari Neeme Jõelähtme vald Harjumaa	1306327
Kesk-Kaare tee t Tallinn Harjumaa	1306339
Kirde Jõhvi Jõhvi vald Ida-Virumaa	1306348
