id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters
399	1885	7	19	159	Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Pärnu	Halliste	Penuja	409
182	1823	5	19	NULL	NULL	Viljandi	Helme	Lõve	84
508	1856	2	17	4	NULL	Tartu	Kodavere	Alatskivi	211
249	1869	3	11	66	Laenud ja võlanõuded	Viljandi	Helme	Lõve	60
533	1843	3	27	NULL	Perekonna- ja pärimisasjad	Viljandi	Paistu	Holstre	348
583	1899	7	2	2	Varalised tehingud; Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Harju	Kose	Palvere	4025
616	1885	8	9	182	Määratlemata	Pärnu	Halliste	Penuja	122
948	1864	10	10	17	Töö- ja teenistussuhted	Järva	Järva-Jaani	Karinu	448
1833	1870	11	25	34	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	39
12297	1869	10	10		Määratlemata	Järva	Järva-Jaani	Einmanni	19
10351	1868	5	24	26	Määratlemata	Järva	Türi	Särevere	133
374	1876	7	5	45	Sõim ja vägivald; Muud üleastumised	Võru	Urvaste	Vaabina	752
400	1885	7	19	NULL	NULL	Pärnu	Halliste	Penuja	799
534	1843	3	27	NULL	Laenud ja võlanõuded	Viljandi	Paistu	Holstre	331
6529	1826	4	21		Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga.	Tartu	Rõngu	Aakre	190
134	1867	12	NULL	NULL	NULL	Harju	Juuru	Juuru	90
183	1823	5	26	NULL	NULL	Viljandi	Helme	Lõve	84
189	1823	6	16	NULL	NULL	Viljandi	Helme	Lõve	84
201	1840	4	24	NULL	Suhted kõrgemate kohtutega. Kriminaalasjade algatamine. 	Pärnu	Pärnu-Elisabethi	Ülejõe	94
949	1864	10	10	18	Varavastased kuriteod	Järva	Järva-Jaani	Karinu	291
1594	1878	3	21	44	NULL	Tartu	Kodavere	Alatskivi	196
476	1877	1	8	1	Määratlemata	Harju	Juuru	Juuru	359
