id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_MNIMI	Added geom info_MKOOD	Added geom info_xcoord	Added geom info_ycoord
"399"	"1885"	"7"	"19"	"159"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Pärnu	Halliste	Penuja	"409"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"182"	"1823"	"5"	"19"	NULL	NULL	Viljandi	Helme	Lõve	"84"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"508"	"1856"	"2"	"17"	"4"	NULL	Tartu	Kodavere	Alatskivi	"211"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"249"	"1869"	"3"	"11"	"66"	Laenud ja võlanõuded	Viljandi	Helme	Lõve	"60"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"533"	"1843"	"3"	"27"	NULL	Perekonna- ja pärimisasjad	Viljandi	Paistu	Holstre	"348"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"583"	"1899"	"7"	"2"	"2"	"Varalised tehingud; Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Harju	Kose	Palvere	"4025"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"616"	"1885"	"8"	"9"	"182"	Määratlemata	Pärnu	Halliste	Penuja	"122"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"948"	"1864"	"10"	"10"	"17"	Töö- ja teenistussuhted	Järva	Järva-Jaani	Karinu	"448"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"1833"	"1870"	"11"	"25"	"34"	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	"39"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"12297"	"1869"	"10"	"10"		Määratlemata	Järva	Järva-Jaani	Einmanni	"19"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"10351"	"1868"	"5"	"24"	"26"	Määratlemata	Järva	Türi	Särevere	"133"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"374"	"1876"	"7"	"5"	"45"	"Sõim ja vägivald; Muud üleastumised"	Võru	Urvaste	Vaabina	"752"	Võru maakond	"0087"	680247.817063047	6408135.79838293
"400"	"1885"	"7"	"19"	NULL	NULL	Pärnu	Halliste	Penuja	"799"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"534"	"1843"	"3"	"27"	NULL	Laenud ja võlanõuded	Viljandi	Paistu	Holstre	"331"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"6529"	"1826"	"4"	"21"		"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Rõngu	Aakre	"190"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"134"	"1867"	"12"	NULL	NULL	NULL	Harju	Juuru	Juuru	"90"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"183"	"1823"	"5"	"26"	NULL	NULL	Viljandi	Helme	Lõve	"84"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"189"	"1823"	"6"	"16"	NULL	NULL	Viljandi	Helme	Lõve	"84"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"201"	"1840"	"4"	"24"	NULL	Suhted kõrgemate kohtutega. Kriminaalasjade algatamine. 	Pärnu	Pärnu-Elisabethi	Ülejõe	"94"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"949"	"1864"	"10"	"10"	"18"	Varavastased kuriteod	Järva	Järva-Jaani	Karinu	"291"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"1594"	"1878"	"3"	"21"	"44"	NULL	Tartu	Kodavere	Alatskivi	"196"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"476"	"1877"	"1"	"8"	"1"	Määratlemata	Harju	Juuru	Juuru	"359"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"528"	"1843"	"2"	"20"	NULL	Laenud ja võlanõuded	Viljandi	Paistu	Holstre	"742"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"535"	"1843"	"4"	"3"	NULL	Perekonna- ja pärimisasjad	Viljandi	Paistu	Holstre	"205"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"585"	"1899"	"7"	"2"	"3"	Varalised tehingud	Harju	Kose	Palvere	"2995"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"145"	"1862"	"5"	"11"	NULL	NULL	Tartu	Võnnu	Sarakuste	"141"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"190"	"1823"	"7"	"14"	NULL	Kahjutasu	Viljandi	Helme	Lõve	"124"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"603"	"1859"	"10"	"26"	NULL	Vallamagas	Võru	Räpina	Räpina	"265"	Võru maakond	"0087"	680247.817063047	6408135.79838293
"357"	"1868"	"2"	"12"	"7"	"Riiklikud, kiriklikud ja kogukondlikud koormised"	Tartu	Otepää	Ilmjärve	"215"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"4348"	"1884"	"4"	"19"	"5"	NULL	Harju	Hageri	Kohila	"21"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"17023"	"1862"	"4"	"28"	"13"	NULL	Saare	Kihelkonna	Kotlandi	"101"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"1441"	"1867"	"5"	"27"		Määratlemata	Lääne	Kullamaa	Väike-Kullamaa	"42"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"426"	"1911"	"12"	"31"	NULL	NULL	Lääne	Hanila	Massu	"667"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"401"	"1885"	"7"	"19"	"160"	"Kahjutasu; Laenud ja võlanõuded"	Pärnu	Halliste	Penuja	"800"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"427"	"1911"	"12"	"31"	NULL	Vallakohtu asjaajamine ja haldustoimingud 	Lääne	Hanila	Massu	"824"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"185"	"1823"	"6"	"2"	NULL	NULL	Viljandi	Helme	Lõve	"84"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"191"	"1823"	"7"	"21"	NULL	NULL	Viljandi	Helme	Lõve	"84"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"12298"	"1869"	"10"	"24"		Määratlemata	Järva	Järva-Jaani	Einmanni	"19"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"358"	"1868"	"2"	"19"	"10"	Töö- ja teenistussuhted	Tartu	Otepää	Ilmjärve	"218"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"950"	"1864"	"10"	"10"	"19"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Järva	Järva-Jaani	Karinu	"325"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"17561"	"1868"	"11"	"9"		Vallakohtu asjaajamine ja haldustoimingud 	Harju	Juuru	Juuru	"77"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"20696"	"1881"	"1"	"5"		NULL	Lääne	Kullamaa	Käända	"102"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"402"	"1885"	"7"	"19"	"161"	Laenud ja võlanõuded	Pärnu	Halliste	Penuja	"298"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"651"	"1885"	"8"	"23"	"198"	"Määratlemata; Kahjutasu; Laenud ja võlanõuded"	Pärnu	Halliste	Penuja	"2014"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"442"	"1914"	"9"	"27"	NULL	NULL	Lääne	Hanila	Massu	"336"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"186"	"1823"	"6"	"30"	NULL	NULL	Viljandi	Helme	Lõve	"84"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"202"	"1840"	"5"	"7"	NULL	NULL	Pärnu	Pärnu-Elisabethi	Ülejõe	"41"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"192"	"1823"	"8"	"18"	NULL	NULL	Viljandi	Helme	Lõve	"80"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"198"	"1869"	"3"	"24"	"71"	Laenud ja võlanõuded	Viljandi	Helme	Lõve	"49"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"218"	"1823"	"9"	"8"	NULL	Vallakohtu asjaajamine ja haldustoimingud 	Viljandi	Helme	Lõve	"81"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"478"	"1877"	"1"	"22"	"2"	Laenud ja võlanõuded	Harju	Juuru	Juuru	"1052"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"359"	"1885"	"3"	"1"	"4"	Laenud ja võlanõuded	Saare	Kaarma	Loona	"2198"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"7042"	"1829"	"6"	"22"		Vallakohtu asjaajamine ja haldustoimingud 	Viljandi	Paistu	Holstre	"26"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"403"	"1885"	"7"	"19"	"162"	NULL	Pärnu	Halliste	Penuja	"406"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"10563"	"1871"	"12"	"30"	"20"	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	"55"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"617"	"1885"	"8"	"9"	"183"	Määratlemata	Pärnu	Halliste	Penuja	"101"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"1812"	"1871"	"7"	"28"		NULL	Järva	Anna	Eivere	"217"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"187"	"1823"	"7"	"7"	NULL	NULL	Viljandi	Helme	Lõve	"84"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"228"	"1824"	"2"	"16"	NULL	Vallakohtu asjaajamine ja haldustoimingud 	Viljandi	Helme	Lõve	"80"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"360"	"1891"	"9"	"4"	NULL	NULL	Lääne	Hanila	Massu	"590"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"9984"	"1866"	"12"	"24"		NULL	Viru	Haljala	Vihula	"27"				
"5254"	"1889"	"7"	"14"	"119"	"Sõim ja vägivald; Varavastased kuriteod"	Tartu	Nõo	Pangodi	"698"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"5307"	"1889"	"9"	"12"	N95.	Laenud ja võlanõuded	Tartu	Rõngu	Aakre	"310"	Tartu maakond	"0079"	658056.466567159	6475218.89392946
"9975"	"1868"	"10"	"25"		Määratlemata	Järva	Järva-Jaani	Einmanni	"24"	Järva maakond	"0052"	593186.001737898	6531205.81501648
"477"	"1877"	"1"	"22"	"2"	NULL	Harju	Juuru	Juuru	"433"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"404"	"1885"	"7"	"19"	"162"	"Töö- ja teenistussuhted; Laenud ja võlanõuded"	Pärnu	Halliste	Penuja	"935"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"446"	"1913"	"12"	"21"	NULL	Vallakohtu asjaajamine ja haldustoimingud 	Lääne	Hanila	Massu	"743"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"219"	"1823"	"9"	"24"	NULL	Vallakohtu asjaajamine ja haldustoimingud 	Viljandi	Helme	Lõve	"81"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"361"	"1891"	"9"	"4"	NULL	"Vallakohtu asjaajamine ja haldustoimingud ; Töö- ja teenistussuhted"	Lääne	Hanila	Massu	"1026"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"2837"	"1826"	"5"	"20"		Laenud ja võlanõuded	Viljandi	Paistu	Holstre	"164"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"1442"	"1867"	"6"	"17"		Määratlemata	Lääne	Kullamaa	Väike-Kullamaa	"41"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"3199"	"1832"	"6"	"25"	"13"	Määratlemata	Saare	Kihelkonna	Lümanda	"77"	Saare maakond	"0074"	415113.808163332	6473268.50586371
"405"	"1885"	"7"	"19"	"163"	Kahjutasu	Pärnu	Halliste	Penuja	"759"	Pärnu maakond	"0068"	527920.617616871	6476344.04590085
"458"	"1915"	"10"	"24"	NULL	"Vallakohtu asjaajamine ja haldustoimingud ; Töö- ja teenistussuhted"	Lääne	Hanila	Massu	"496"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"220"	"1823"	"9"	"29"	NULL	Vallakohtu asjaajamine ja haldustoimingud 	Viljandi	Helme	Lõve	"81"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
"274"	"1874"	"8"	"23"	"48"	NULL	Harju	Jüri	Rae	"140"	Harju maakond	"0037"	552544.478068711	6574865.89298244
"285"	"1867"	"11"	"27"	NULL	NULL	Lääne	Käina	Vaemla	"10"	Lääne maakond	"0056"	486443.618506618	6537219.88707708
"250"	"1824"	"5"	"6"	NULL	Töö- ja teenistussuhted	Viljandi	Helme	Lõve	"226"	Viljandi maakond	"0084"	590879.425873858	6467185.68687056
