id	year	month	day	protocol_number	X_record_type	maakond	kihelkond	vald	number_of_characters	Added geom info_KOOD	Added geom info_MAAKOND	Added geom info_KUBERMANG	Added geom info_xcoord	Added geom info_ycoord
"399"	"1885"	"7"	"19"	"159"	"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Pärnu	Halliste	Penuja	"409"	d97110	Pärnu	Liivimaa	578199.541828338	6447181.72644882
"182"	"1823"	"5"	"19"	NULL	NULL	Viljandi	Helme	Lõve	"84"					
"508"	"1856"	"2"	"17"	"4"	NULL	Tartu	Kodavere	Alatskivi	"211"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"249"	"1869"	"3"	"11"	"66"	Laenud ja võlanõuded	Viljandi	Helme	Lõve	"60"					
"533"	"1843"	"3"	"27"	NULL	Perekonna- ja pärimisasjad	Viljandi	Paistu	Holstre	"348"	d97161	Viljandi	Liivimaa	594372.438485816	6457037.15811181
"583"	"1899"	"7"	"2"	"2"	"Varalised tehingud; Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Harju	Kose	Palvere	"4025"	d97142	Harju	Eestimaa	571852.864726451	6559021.0883687
"616"	"1885"	"8"	"9"	"182"	Määratlemata	Pärnu	Halliste	Penuja	"122"	d97110	Pärnu	Liivimaa	578199.541828338	6447181.72644882
"948"	"1864"	"10"	"10"	"17"	Töö- ja teenistussuhted	Järva	Järva-Jaani	Karinu	"448"	d97119	Järva	Eestimaa	609854.595864574	6547460.4743589
"1833"	"1870"	"11"	"25"	"34"	Vallakohtu asjaajamine ja haldustoimingud 	Harju	Hageri	Kohila	"39"	d97108	Harju	Eestimaa	536333.065548865	6557433.89000259
"12297"	"1869"	"10"	"10"		Määratlemata	Järva	Järva-Jaani	Einmanni	"19"	d97119	Järva	Eestimaa	609854.595864574	6547460.4743589
"10351"	"1868"	"5"	"24"	"26"	Määratlemata	Järva	Türi	Särevere	"133"	d97192	Järva	Eestimaa	581053.656070628	6521624.13897247
"374"	"1876"	"7"	"5"	"45"	"Sõim ja vägivald; Muud üleastumised"	Võru	Urvaste	Vaabina	"752"	d97193	Võru	Liivimaa	656186.778421861	6418530.54864485
"400"	"1885"	"7"	"19"	NULL	NULL	Pärnu	Halliste	Penuja	"799"	d97110	Pärnu	Liivimaa	578199.541828338	6447181.72644882
"534"	"1843"	"3"	"27"	NULL	Laenud ja võlanõuded	Viljandi	Paistu	Holstre	"331"	d97161	Viljandi	Liivimaa	594372.438485816	6457037.15811181
"6529"	"1826"	"4"	"21"		"Maade ja hoonete rentimine, mõõtmine ja pärandamine. Ehitamine. Suhted mõisa ja kroonuga."	Tartu	Rõngu	Aakre	"190"	d97179	Tartu	Liivimaa	631479.266685926	6444153.29787797
"134"	"1867"	"12"	NULL	NULL	NULL	Harju	Juuru	Juuru	"90"	d97124	Harju	Eestimaa	560903.116918857	6542217.16467852
"183"	"1823"	"5"	"26"	NULL	NULL	Viljandi	Helme	Lõve	"84"					
"189"	"1823"	"6"	"16"	NULL	NULL	Viljandi	Helme	Lõve	"84"					
"201"	"1840"	"4"	"24"	NULL	Suhted kõrgemate kohtutega. Kriminaalasjade algatamine. 	Pärnu	Pärnu-Elisabethi	Ülejõe	"94"					
"949"	"1864"	"10"	"10"	"18"	Varavastased kuriteod	Järva	Järva-Jaani	Karinu	"291"	d97119	Järva	Eestimaa	609854.595864574	6547460.4743589
"1594"	"1878"	"3"	"21"	"44"	NULL	Tartu	Kodavere	Alatskivi	"196"	d97138	Tartu	Liivimaa	678443.700571749	6499694.4408131
"476"	"1877"	"1"	"8"	"1"	Määratlemata	Harju	Juuru	Juuru	"359"	d97124	Harju	Eestimaa	560903.116918857	6542217.16467852
"528"	"1843"	"2"	"20"	NULL	Laenud ja võlanõuded	Viljandi	Paistu	Holstre	"742"	d97161	Viljandi	Liivimaa	594372.438485816	6457037.15811181
"535"	"1843"	"4"	"3"	NULL	Perekonna- ja pärimisasjad	Viljandi	Paistu	Holstre	"205"	d97161	Viljandi	Liivimaa	594372.438485816	6457037.15811181
"585"	"1899"	"7"	"2"	"3"	Varalised tehingud	Harju	Kose	Palvere	"2995"	d97142	Harju	Eestimaa	571852.864726451	6559021.0883687
"145"	"1862"	"5"	"11"	NULL	NULL	Tartu	Võnnu	Sarakuste	"141"	d97205	Tartu	Liivimaa	682511.042098504	6463190.48213771
"190"	"1823"	"7"	"14"	NULL	Kahjutasu	Viljandi	Helme	Lõve	"124"					
"603"	"1859"	"10"	"26"	NULL	Vallamagas	Võru	Räpina	Räpina	"265"	d97174	Võru	Liivimaa	699441.264460731	6445131.29728697
"357"	"1868"	"2"	"12"	"7"	"Riiklikud, kiriklikud ja kogukondlikud koormised"	Tartu	Otepää	Ilmjärve	"215"					
"4348"	"1884"	"4"	"19"	"5"	NULL	Harju	Hageri	Kohila	"21"	d97108	Harju	Eestimaa	536333.065548865	6557433.89000259
