Aasta;Maakond;Kuu;Arv
2006;Harju maakond;Jaanuar;164
2006;..Tallinn;Jaanuar;148
2006;Hiiu maakond;Jaanuar;2
2006;Ida-Viru maakond;Jaanuar;47
2006;Jõgeva maakond;Jaanuar;5
2006;Järva maakond;Jaanuar;7
2006;Lääne maakond;Jaanuar;1
2006;Lääne-Viru maakond;Jaanuar;9
2006;Põlva maakond;Jaanuar;6
2006;Pärnu maakond;Jaanuar;16
2006;Rapla maakond;Jaanuar;6
2006;Saare maakond;Jaanuar;2
2006;Tartu maakond;Jaanuar;31
2006;Valga maakond;Jaanuar;3
2006;Viljandi maakond;Jaanuar;3
2006;Võru maakond;Jaanuar;5
2007;Harju maakond;Jaanuar;156
2007;..Tallinn;Jaanuar;135
2007;Hiiu maakond;Jaanuar;1
2007;Ida-Viru maakond;Jaanuar;49
2007;Jõgeva maakond;Jaanuar;6
2007;Järva maakond;Jaanuar;13
2007;Lääne maakond;Jaanuar;8
2007;Lääne-Viru maakond;Jaanuar;11
2007;Põlva maakond;Jaanuar;1
2007;Pärnu maakond;Jaanuar;20
2007;Rapla maakond;Jaanuar;3
2007;Saare maakond;Jaanuar;2
2007;Tartu maakond;Jaanuar;42
2007;Valga maakond;Jaanuar;1
2007;Viljandi maakond;Jaanuar;10
2007;Võru maakond;Jaanuar;5
2008;Harju maakond;Jaanuar;139
2008;..Tallinn;Jaanuar;125
2008;Hiiu maakond;Jaanuar;1
2008;Ida-Viru maakond;Jaanuar;42
2008;Jõgeva maakond;Jaanuar;4
2008;Järva maakond;Jaanuar;4
2008;Lääne maakond;Jaanuar;4
2008;Lääne-Viru maakond;Jaanuar;12
2008;Põlva maakond;Jaanuar;3
2008;Pärnu maakond;Jaanuar;16
2008;Rapla maakond;Jaanuar;4
2008;Saare maakond;Jaanuar;3
2008;Tartu maakond;Jaanuar;26
2008;Valga maakond;Jaanuar;2
2008;Viljandi maakond;Jaanuar;4
2008;Võru maakond;Jaanuar;3
2009;Harju maakond;Jaanuar;126
2009;..Tallinn;Jaanuar;109
2009;Hiiu maakond;Jaanuar;1
2009;Ida-Viru maakond;Jaanuar;57
2009;Jõgeva maakond;Jaanuar;2
2009;Järva maakond;Jaanuar;5
2009;Lääne maakond;Jaanuar;5
2009;Lääne-Viru maakond;Jaanuar;11
2009;Põlva maakond;Jaanuar;2
2009;Pärnu maakond;Jaanuar;11
2009;Rapla maakond;Jaanuar;6
2009;Saare maakond;Jaanuar;4
2009;Tartu maakond;Jaanuar;24
2009;Valga maakond;Jaanuar;4
2009;Viljandi maakond;Jaanuar;6
2009;Võru maakond;Jaanuar;5
2010;Harju maakond;Jaanuar;90
2010;..Tallinn;Jaanuar;84
2010;Hiiu maakond;Jaanuar;1
2010;Ida-Viru maakond;Jaanuar;27
2010;Jõgeva maakond;Jaanuar;3
2010;Järva maakond;Jaanuar;4
2010;Lääne maakond;Jaanuar;2
2010;Lääne-Viru maakond;Jaanuar;6
2010;Põlva maakond;Jaanuar;4
2010;Pärnu maakond;Jaanuar;17
2010;Rapla maakond;Jaanuar;1
2010;Saare maakond;Jaanuar;2
2010;Tartu maakond;Jaanuar;30
2010;Valga maakond;Jaanuar;3
2010;Viljandi maakond;Jaanuar;4
2010;Võru maakond;Jaanuar;4
2011;Harju maakond;Jaanuar;97
2011;..Tallinn;Jaanuar;92
2011;Hiiu maakond;Jaanuar;1
2011;Ida-Viru maakond;Jaanuar;35
2011;Jõgeva maakond;Jaanuar;2
2011;Järva maakond;Jaanuar;2
2011;Lääne maakond;Jaanuar;2
2011;Lääne-Viru maakond;Jaanuar;7
2011;Põlva maakond;Jaanuar;4
2011;Pärnu maakond;Jaanuar;13
2011;Rapla maakond;Jaanuar;1
2011;Saare maakond;Jaanuar;3
2011;Tartu maakond;Jaanuar;14
2011;Valga maakond;Jaanuar;2
2011;Viljandi maakond;Jaanuar;10
2011;Võru maakond;Jaanuar;3
2012;Harju maakond;Jaanuar;115
2012;..Tallinn;Jaanuar;109
2012;Hiiu maakond;Jaanuar;0
2012;Ida-Viru maakond;Jaanuar;32
2012;Jõgeva maakond;Jaanuar;6
2012;Järva maakond;Jaanuar;6
2012;Lääne maakond;Jaanuar;4
2012;Lääne-Viru maakond;Jaanuar;9
2012;Põlva maakond;Jaanuar;5
2012;Pärnu maakond;Jaanuar;10
2012;Rapla maakond;Jaanuar;7
2012;Saare maakond;Jaanuar;6
2012;Tartu maakond;Jaanuar;23
2012;Valga maakond;Jaanuar;4
2012;Viljandi maakond;Jaanuar;5
2012;Võru maakond;Jaanuar;1
2013;Harju maakond;Jaanuar;140
2013;..Tallinn;Jaanuar;125
2013;Hiiu maakond;Jaanuar;2
2013;Ida-Viru maakond;Jaanuar;46
2013;Jõgeva maakond;Jaanuar;8
2013;Järva maakond;Jaanuar;3
2013;Lääne maakond;Jaanuar;5
2013;Lääne-Viru maakond;Jaanuar;10
2013;Põlva maakond;Jaanuar;1
2013;Pärnu maakond;Jaanuar;15
2013;Rapla maakond;Jaanuar;1
2013;Saare maakond;Jaanuar;1
2013;Tartu maakond;Jaanuar;33
2013;Valga maakond;Jaanuar;2
2013;Viljandi maakond;Jaanuar;5
2013;Võru maakond;Jaanuar;7
2014;Harju maakond;Jaanuar;141
2014;..Tallinn;Jaanuar;127
2014;Hiiu maakond;Jaanuar;0
2014;Ida-Viru maakond;Jaanuar;42
2014;Jõgeva maakond;Jaanuar;0
2014;Järva maakond;Jaanuar;4
2014;Lääne maakond;Jaanuar;3
2014;Lääne-Viru maakond;Jaanuar;8
2014;Põlva maakond;Jaanuar;1
2014;Pärnu maakond;Jaanuar;14
2014;Rapla maakond;Jaanuar;3
2014;Saare maakond;Jaanuar;7
2014;Tartu maakond;Jaanuar;17
2014;Valga maakond;Jaanuar;2
2014;Viljandi maakond;Jaanuar;8
2014;Võru maakond;Jaanuar;5
2015;Harju maakond;Jaanuar;111
2015;..Tallinn;Jaanuar;108
2015;Hiiu maakond;Jaanuar;1
2015;Ida-Viru maakond;Jaanuar;38
2015;Jõgeva maakond;Jaanuar;1
2015;Järva maakond;Jaanuar;3
2015;Lääne maakond;Jaanuar;1
2015;Lääne-Viru maakond;Jaanuar;9
2015;Põlva maakond;Jaanuar;5
2015;Pärnu maakond;Jaanuar;15
2015;Rapla maakond;Jaanuar;4
2015;Saare maakond;Jaanuar;3
2015;Tartu maakond;Jaanuar;18
2015;Valga maakond;Jaanuar;3
2015;Viljandi maakond;Jaanuar;6
2015;Võru maakond;Jaanuar;7
2016;Harju maakond;Jaanuar;152
2016;..Tallinn;Jaanuar;149
2016;Hiiu maakond;Jaanuar;1
2016;Ida-Viru maakond;Jaanuar;43
2016;Jõgeva maakond;Jaanuar;3
2016;Järva maakond;Jaanuar;4
2016;Lääne maakond;Jaanuar;2
2016;Lääne-Viru maakond;Jaanuar;14
2016;Põlva maakond;Jaanuar;2
2016;Pärnu maakond;Jaanuar;17
2016;Rapla maakond;Jaanuar;3
2016;Saare maakond;Jaanuar;1
2016;Tartu maakond;Jaanuar;25
2016;Valga maakond;Jaanuar;2
2016;Viljandi maakond;Jaanuar;11
2016;Võru maakond;Jaanuar;2
2017;Harju maakond;Jaanuar;123
2017;..Tallinn;Jaanuar;120
2017;Hiiu maakond;Jaanuar;1
2017;Ida-Viru maakond;Jaanuar;35
2017;Jõgeva maakond;Jaanuar;1
