name,country,state,
Brough,United Kingdom,,
Appleby,United Kingdom,,
Appleby,United Kingdom,,
Eden,United Kingdom,,
Kirby-thore,United Kingdom,,
Acorn-bank,United Kingdom,,
Whinfield-park,United Kingdom,,
Hawthorn-oaks,United Kingdom,,
Countess-pillar,United Kingdom,,
Brougham-Castle,United Kingdom,,
??,United Kingdom,,
Eden,United Kingdom,,
Eimot,United Kingdom,,
Penrith,United Kingdom,,
Beacon-hill,United Kingdom,,
Whinfield,United Kingdom,,
Lowther-parks,United Kingdom,,
Ulz-water,United Kingdom,,
Cross-fell,United Kingdom,,
Eeman,United Kingdom,,
Eeman,United Kingdom,,
Hatton St John,United Kingdom,,
Dunmallert,United Kingdom,,
Place-Fell,United Kingdom,,
Dunmallert,United Kingdom,,
Barton-bridge,United Kingdom,,
Eeman,United Kingdom,,
Eeman,United Kingdom,,
Ulz-water [??] shore,United Kingdom,,
Place-Fell,United Kingdom,,
Thames,United Kingdom,,
London,United Kingdom,,
Helvellyn,United Kingdom,,
Water-malloch,United Kingdom,,
Penrith,United Kingdom,,
Cross-fell,United Kingdom,,
Keswick,United Kingdom,,
Greystock,United Kingdom,,
Ulz-water,United Kingdom,,
Penradock,United Kingdom,,
Threlcot,United Kingdom,,
Saddleback,United Kingdom,,
Gardies,United Kingdom,,
Low-side,United Kingdom,,
St John's,United Kingdom,,
Hill-top,United Kingdom,,
Skiddaw,United Kingdom,,
Latter-rig,United Kingdom,,
Borrodale,United Kingdom,,
Cockshut,United Kingdom,,
Castle-hill,United Kingdom,,
Walla Crag,United Kingdom,,
Walla,United Kingdom,,
Newland,United Kingdom,,
Borodale,United Kingdom,,
Keswick,United Kingdom,,
Crosthwait,United Kingdom,,
Skiddaw,United Kingdom,,
Carf-close-reeds,United Kingdom,,
Barrow-gate,United Kingdom,,
Barrow-beck,United Kingdom,,
Borodale,United Kingdom,,
Lodoor-banks,United Kingdom,,
Lodoor,United Kingdom,,
Gowder-crag,United Kingdom,,
Lodoor,United Kingdom,,
Alps,United Kingdom,,
Grange,United Kingdom,,
Darwent,United Kingdom,,
Castle-crag,United Kingdom,,
Eagle's-cliff,United Kingdom,,
Dove's-nest,United Kingdom,,
Whitedale-pike,United Kingdom,,
Keswick,United Kingdom,,
Sea-Whaite,United Kingdom,,
Ravenglas,United Kingdom,,
Hawkshead,United Kingdom,,
Grange,United Kingdom,,
Skiddaw,United Kingdom,,
Crow-Park,United Kingdom,,
Crow-park,United Kingdom,,
Borodale,United Kingdom,,
Cockshut-hill,United Kingdom,,
Castle-hill,United Kingdom,,
Castle-hill,United Kingdom,,
How-hill,United Kingdom,,
Bassinthwaite-water,United Kingdom,,
Skiddaw,United Kingdom,,
Portingskall,United Kingdom,,
Park,United Kingdom,,
Walla-crag,United Kingdom,,
Castle-hill,United Kingdom,,
Penrith,United Kingdom,,
Skiddaw,United Kingdom,,
Saddleback,United Kingdom,,
Penrith,United Kingdom,,
Castle-Rigg,United Kingdom,,
St John,United Kingdom,,
Catchidecam,United Kingdom,,
Helvellyn,United Kingdom,,
Skiddaw,United Kingdom,,
Bassingth,United Kingdom,,
Ouse-Bridge,United Kingdom,,
Skiddaw,United Kingdom,,
Widhope-Brows,United Kingdom,,
Keswick,United Kingdom,,
Armathwate,United Kingdom,,
Keswick,United Kingdom,,
Derwent-water,United Kingdom,,
Skiddaw-fell,United Kingdom,,
Armathwate-House,United Kingdom,,
Cockermouth,United Kingdom,,
Penrith,United Kingdom,,
Cross-fell,United Kingdom,,
Crow-park,United Kingdom,,
Penrith,United Kingdom,,
Keswick,United Kingdom,,
Borrodale,United Kingdom,,
Keswick,United Kingdom,,
Ambleside,United Kingdom,,
Castle-rigg,United Kingdom,,
Causeway-foot,United Kingdom,,
Naddle-Fells,United Kingdom,,
Lanewaite,United Kingdom,,
Keswick,United Kingdom,,
Helvellyn,United Kingdom,,
Lees-water,United Kingdom,,
Thirl-meer,United Kingdom,,
Wiborn-water,United Kingdom,,
Helvellyn,United Kingdom,,
Dunmail-raise,United Kingdom,,
Westmoreland,United Kingdom,,
Helm-Crag,United Kingdom,,
Grasmere-water,United Kingdom,,
Grasmere-hill,United Kingdom,,
Ridale-water,United Kingdom,,
Rydale-hall,United Kingdom,,
Rydale-head,United Kingdom,,
Wynander-mere [lake],United Kingdom,,
Skiddaw,United Kingdom,,
Ambleside,United Kingdom,,
Keswick,United Kingdom,,
Winandermere,United Kingdom,,
Kendal,United Kingdom,,
Winder-mere[eastern shore],United Kingdom,,
Langsledale,United Kingdom,,
Wreenose,United Kingdom,,
Hard-Knot,United Kingdom,,
Orrest-head,United Kingdom,,
Ings-Chappel,United Kingdom,,
Staveley,United Kingdom,,
Kendal,United Kingdom,,
Keswick,United Kingdom,,
Castle-hill,United Kingdom,,
Warwick,United Kingdom,,
Milthrop,United Kingdom,,
river Kent,United Kingdom,,
Siserge,United Kingdom,,
Siser,United Kingdom,,
Milthrop,United Kingdom,,
Scotland,United Kingdom,,
Levens,United Kingdom,,
Burton,United Kingdom,,
Lancaster,United Kingdom,,
Farlton-Knot,United Kingdom,,
Lancaster,United Kingdom,,
Cartmell-sands,United Kingdom,,
Furness,United Kingdom,,
Lancaster,United Kingdom,,
Castle-hill,United Kingdom,,
France,United Kingdom,,
England,United Kingdom,,
Lancaster,United Kingdom,,
Furness,United Kingdom,,
Peel-Castle,United Kingdom,,
isle of Fowdrey,United Kingdom,,
Castle-hill,United Kingdom,,
Aukland,United Kingdom,,
Kendal,United Kingdom,,
London,United Kingdom,,
Pooton,United Kingdom,,
