name,country,state,
Keswick,,,
Cornwall,,,
John O'Groat,,,
Keswick,,,
English Lake District,,,
Skiddaw,,,
Helvellyn,,,
Seawfall,,,
MOOT HALL,,,
Derwentwater,,,
Lord’s Island,,,
English Lake District,,,
Manchester,,,
Cumberland,,,
ODD-FELLOWS' HALL,,,
Manchester,,,
parish of Crosthwaite,,,
Keswick,,,
Queen's College, Oxford,,,
Gray's Inn, London,,,
Oxford,,,
parish of Crosthwaite,,,
Crosthwaite's Museum,,,
Windermere,,,
Penrith,,,
London,,,
Kendal,,,
Penrith,,,
CUMBERLAND,,,
Keswick,,,
London,,,
Edinburgh,,,
Scotland,,,
Dublin,,,
Belfast,,,
CROSTHWAITE'S MUSEUM,,,
Keswick,,,
India,,,
India,,,
Surat Castle,,,
India,,,
Northumberland,,,
England,,,
river Greta,,,
Shields,,,
London,,,
London,,,
Paris,,,
Lake District,,,
KESWICK,,,
Liverpool,,,
Leeds,,,
Carlisle,,,
Cumberland,,,
Keswick,,,
Cumberland,,,
Westmorland,,,
Keswick,,,
Keswick,,,
Keswick,,,
Barrowdale,,,
Keswick,,,
Keswick,,,
ST. JOHN'S CHURCH,,,
Leeds,,,
Lammonby,,,
Greystoke,,,
St. John's Church,,,
KESWICK,,,
Edinburgh,,,
Hallsteads,,,
St. John's, Keswick,,,
Keswick,,,
Keswick,,,
PLYMOUTH,,,
Keswick,,,
Keswick,,,
Parish of Crosthwaite,,,
Ward of Allerdale,,,
Derwent,,,
London,,,
Wigton,,,
Cockermouth,,,
Ambleside,,,
Penrith,,,
Lake District,,,
Cumberland,,,
Parish Church,,,
Keswick,,,
Goldscope,,,
Newlands,,,
Keswick,,,
Keswike,,,
St Herberte's Isle,,,
Crosthwaite Church,,,
Cumberland,,,
Keswick,,,
Keswick,,,
Cumberland,,,
Keswick,,,
England,,,
Crosthwaite's Museum,,,
Continent,,,
Keswick,,,
Keswick,,,
Derwent's,,,
Keswick,,,
Derwent Water,,,
Hutton's Museum,,,
Crow Park,,,
Crow Park,,,
Borrowdale,,,
Crow Park,,,
Crow Park,,,
Derwentwater,,,
Cockshot, or Cockshut, Hill,,,
Friar's Crag,,,
Borrowdale,,,
Friar's Crag,,,
Lindisfarn,,,
VICAR'S ISLAND,,,
Fountain's Abbey,,,
Yorkshire,,,
parish church of Crosthwaite,,,
Cumberland,,,
Derwent Lake,,,
Keswick,,,
Pocklington's Island,,,
St. Herbert's,,,
Rampsholme,,,
Lord's Island,,,
Pocklington's Island,,,
Friar's Crag,,,
Appleby,,,
Keswick,,,
Crosthwaite's Museum,,,
Leeds,,,
LORD'S ISLAND,,,
Friar's Crag,,,
Derwentwater,,,
Castlerigg,,,
Strands Hagg,,,
Northumberland,,,
Preston,,,
London,,,
Commons House of Parliament,,,
House of Lords,,,
Westminster,,,
Dilston, Northumberland,,,
Kendal Castle,,,
Dorsetshire,,,
France,,,
France,,,
Louvaine,,,
Newgate,,,
France,,,
England,,,
Scotland,,,
Tower Hill,,,
Greenwich Hospital,,,
Cumberland,,,
Northumberland,,,
Durham,,,
Cumberland,,,
Leeds,,,
Cumberland,,,
Tower Hill,,,
BARROW HOUSE,,,
Lake District,,,
Barrow Point,,,
Thrang Crag,,,
LODORE,,,
Lodore Waterfall,,,
Glen Watendlath,,,
Gowdar Crag,,,
Shepherd's Crag,,,
Derwentwater,,,
Keswick,,,
Bassenthwaite Lake,,,
Lodore Hotel,,,
Lodore,,,
Lodore,,,
Vale of Derwentwater,,,
Derwentwater Bay,,,
Hawes End,,,
Victoria Bay,,,
Keswick,,,
HERBERT'S ISLE,,,
St. Herbert's cell,,,,
Brayton Hall, Cumberland,,,
Farn Island,,,
river Derwent,,,
Lugubalia,,,
Carlisle,,,
St. Herbert's Cell,,,
Lodore,,,
Lake Derwent,,,
Keswick,,,
Cumberland,,,
Keswick,,,
CHURCH OF CROSTHWAITE,,,
GRETA HALL,,,
river Greta,,,
Derwent,,,
Skiddaw,,,
Blencathra,,,
Latrigg,,,
Skiddaw's,,,
Derwent,,,
Glaramara,,,
Wythop,,,
Glaramar,,,
Bleacrag,,,
Maidenmawr,,,
Grizedal,,,
Wythop.,,,
Greta,,,
Greta Hall,,,
Keswick,,,
Eton,,,
Oxford,,,
High Hill,,,
CROSTHWAITE SUNDAY SCHOOL,,,
Lairthwaite,,,
Parish Church of Crosthwaite,,,
Keswick,,,
Fountain's Abbey,,,
Yorkshire,,,
Carlisle,,,
London,,,
Derwentwater,,,
Skiddaw's,,,
Southey's grave,,,
Crosthwaite,,,
Parish of Crosthwaite,,,
Enenst Scotland,,,
York,,,
Keswick,,,
Wythburn,,,
Borrowdale,,,
Thornthwaite,,,
Brundholme,,,
Derwent Fells,,,
Crosthwaite Church,,,
Parish of Crosthwaite,,,
Parish of Crosthwaite,,,
Keswick,,,
Parish of Crosthwaite,,,
England,,,
village of Crosthwaite,,,
Monk's Hall,,,
Rydal,,,
High Hill,,,
Derwent,,,
Portinscale,,,
Derwentwater Hotel,,,
vale of Newlands,,,
Roodland's House,,,
Derwent Lodge,,,
Derwent Bank,,,
Faw Park,,,
Silver Hill,,,
Water End,,,
Gutherscale,,,
Skelgill,,,
Cat-Bells,,,
Skelgill Bank,,,
vale of Newlands ,,,
Faw Park,,,
Swinside,,,
Swinside,,,
ENGLISH LAKES,,,
Penrith,,,
Keswick,,,
Shorley Croft,,,
Greta,,,
Derwent,,,
Keswick,,,
Greta,,,
Glendera-Neekin,,,
Glendera-Makin,,,
Bure,,,
Threlkeld Tarn,,,
Blencathra,,,
Souterfell,,,
Grisedale,,,
Threlkeld,,,
Wythburn,,,
Dunmail Raise,,,
Thirlmere Lake,,,
Helvellyn,,,
Valley of St. John,,,
Threlkeld Bridge,,,
Greta,,,
Yorkshire,,,
England,,,
GRETA,,,
Cocytus,,,
Greta,,,
Keswick,,,
Latrigg,,,
Skiddaw,,,
Birgham Toll-bar,,,
Latrigg,,,
Skiddaw,,,
Ormathwaite,,,
Applethwaite,,,
Lowgrove,,,,
Millbeck,,,
Lyzzick,,,
Skiddaw,,,
Dod,,,
Keswick,,,
Wigton,,,
Brudholme farm,,,
Latrigg,,,
Skiddaw,,,
Latrigg,,,
Penrith,,,
Brigham Row,,,
St. John's Church, Keswick,,,
St. John's Church,,,
Battersea,,,
St. John's,,,
FORGE,,,
BRIERY,,,
Penrith,,,
Stormy Hill,,,
Field-Side House,,,
Keswick,,,
Keswick,,,
London,,,
Charlotte Street,,,
Bedford Square,,,
Tunbridge Wells,,,
Derwentwater,,,
vale of Keswick,,,
Latrigg,,,
Skiddaw,,,
Penrith,,,
vale of St. John,,,
Melfell,,,
Blencathra,,,
Helvellyn,,,
Wanthwaite Crags,,,
Dunmail Raise,,,
Nathdale Fells,,,
Helvellyn,,,
Leathes Water,,,
Borrowdale,,,
vale of Keswick,,,
Castlerigg,,,
Derwent ,,,
Skiddaw,,,
Saddleback,,,
Castle Lonning,,,
Ambleside,,,
CASTLERIGG,,,
Keswick,,,
England,,,
Castle-rigg,,,
Lake Derwent,,,
Skiddaw,,,
Blencathar,,,
Lake Bssenthwaite,,,
Wythop,,,
Keswick,,,
Greta's,,,
Wallow Crag,,,
Castlerigg,,,
Rakefoot,,,
Castle of Derwentwater,,,
Dilston,,,
Castlerigg Fell,,,
"Lady's Rake,",,,
Derwentwater,,,
Lord's Isle,,,
Rakefoot,,,
Borrowdale,,,
CASTLEHEAD,,,
St. John's Church,,,
Keswick,,,
Lake of Bassenthwaite,,,
vale of Derwent,,,
Keswick,,,
CASTLET,,,
Keswick,,,
Borrowdale,,,
Great Wood,,,
Derwentwater,,,
Walla Crag,,,
"Keswick Springs,",,,
Kendal,,,
Brow top,,,
Skiddaw's,,,
Derwent,,,
Vale of the Derwent,,,
Skiddaw,,,
Latrigg-side,,,
Skiddaw Low Man,,,
Skiddaw High Man,,,
Keswick,,,
SKIDDAW,,,
Skiddaw's,,,
Borrowdale,,,
Derwent lake,,,
Lake Derwent!,,,
Derwent,,,
Walla-Crag,,,
Maidenmaur,,,
Cathells,,,
Walla-Crag,,,
Derwent,,,
Bassenthwaite,,,
Helvellyn,,,
Thirlmere,,,
Greta,,,
Helvellyn’s,,,
Triermain,,,
Nathdale's,,,
Castle-Rock,,,
