name,country,state,
Norwich,,,
NEW COLLEGE, OXFORD,,,
NORWICH,,,
Norwich,,,
Carlile,,,
Castle of Naworth,,,
Langley Castle,,,
Naworth Ca: and Parke,,,
Branton Parke,,,
Gisland Liberties,,,
Kingly Hall,,,
Carlile,,,
Gilsland,,,
Northumberland,,,
Cumberland,,,
walsend,,,
East Sea,,,
Riuer of Tyne,,,
Carlile,,,
Tyne,,,
Warwicke Bridge,,,
Riuer Eden,,,
Inne the Angell,,,
Carlile,,,
Naworth Castle,,,
Adrian, and Seuerus,,,
Cumberland,,,
Pontrosse,,,
Cathedrall,,,
Rose Castle,,,
Rose,,,
Cawd Riuers,,,
Appleby,,,
Scotland,,,
Burgh on the Sands,,,
Nay-Church,,,
Brunswicke Hill,,,
Scotland,,,
England,,,
Naworth,,,
Corby Castle,,,
Naworth,,,
Norfolke,,,
Graystocke Castle,,,
Grastocke,,,
Kendall,,,
Hutton Castle,,,
Perith,,,
Cumberland,,,
Westmorland,,,
Broom Castle,,,
Riuer Kant,,,
Can,,,
Kendall,,,
Fox, and Geese,,,
Appleby,,,
County Palatine of Lancaster,,,
Riuer Lun,,,
George,,,
Lancaster,,,
Westmorland,,,
Windermeere,,,
