name,country,state,
GREAT BRITAIN,,,
Carlisle,,,
Netherby,,,
Long Town,,,
Carlisle,,,
Bush Inn,,,
Magdalen College, Cambridge,,,
Carlisle,,,
Penrith,,,
Corby Castle,,,
Penrith,,,
Inglewood Forest,,,
Penrith,,,
Penrith,,,
Leeds,,,
Keswick Lake,,,
Penrith,,,
Ulleswater,,,
Keswick,,,
Keswick,,,
Keswick Lake,,,
Keswick Lake,,,
Lodore,,,
Falls of Clyde,,,
Boudar Stone,,,
Low Wood,,,
Grasmere Lake,,,
Ambleside,,,
England,,,
Scotland,,,
Wales,,,
Low Wood,,,
Windermere Lake,,,
Keswick,,,
Windermere Lake,,,
Calgarth Park,,,
Windermere,,,
Cumberland,,,
Low Wood,,,
Calgarth Park,,,
Bowness,,,
Lancaster,,,
Kendal,,,
Calgarth,,,
Lancaster,,,
Burton,,,
Cartmel Sands,,,
Lancaster,,,
