name,country,state,
Glenwelt,,,
Brampton,,,
Carli∫le,,,
Newca∫tle,,,
Carli∫le,,,
High A∫cot,,,
Penrith,,,
Penrith,,,
Penrith,,,
Penrith,,,
Kendal,,,
Ke∫wick,,,
Penrith,,,
Keswick,,,
Keswick,,,
England,,,
Keswick,,,
Cock∫hut-hill,,,
Skiddow,,,
Wallow Crag,,,
Stable-hills,,,
Bramp∫holm I∫land,,,
Lord's I∫land,,,
Greenwich Ho∫pital,,,
Wallow and Barrow Crags,,,
Barrow Crag,,,
Stable Hills,,,
Lord's I∫land,,,
Vicar's I∫land,,,
Bramp∫holm,,,
St. Alban's I∫le,,,
Barrow-∫ide,,,
(Throng Crag,),,,
Grange bridge,,,
Grange Crag,,,
Grange Crag,,,
Crown Head,,,
Skiddow,,,
Saddle-back,,,
Achne∫s Fell,,,
Castle Head Crag,,,
Keswick,,,
Cra∫tig-fall,,,
Skiddow,,,
Skiddow,,,
Skiddow,,,
Scotland,,,
I∫le of Man,,,
Ireland,,,
Keswick,,,
vale of Keswick,,,
Penrith,,,
Hulls Water,,,
Dunmanlot Hill,,,
∫addleback,,,
Delmaine,,,
Soulby Fell,,,
Dunmanlot Hill,,,
Swarth Fell,,,
Howtown,,,
Hawling Fell,,,
Hawling Fell,,,
Martindale Fell,,,
Howling Fell,,,
New Crag,,,
New Crag,,,
Martindale Fell,,,
Keswick,,,
Penrith,,,
Shapp,,,
Lowther Hall,,,
Lowther,,,
Shapp,,,
Suffolk,,,
E∫∫ex,,,
Kendal,,,
Shapp,,,
Haws Water,,,
Ponton Vale,,,
Shapp,,,
Kendal,,,
Kendal,,,
Kendal,,,
Leice∫ter∫hire,,,
Warwick∫hire,,,
Durham,,,
Leice∫ter∫hire,,,
Durham,,,
London,,,
England,,,
Kendal,,,
We∫tmoreland,,,
Westmoreland,,,
Lanca∫hire,,,
Cumberland,,,
Ireland,,,
London,,,
London,,,
Kendal,,,
Winander Meer,,,
Kendal,,,
England,,,
Bonus,,,
The I∫land,,,
Berk∫hire I∫land,,,
Bannerig,,,
Oare∫t Head,,,
Lanca∫hire,,,
Bannerig,,,
Berk∫hire,,,
Crow I∫land,,,
Berk∫hire,,,
Round Table,,,
Fourne∫s Fells,,,
Ling Holm,,,
Rawlin∫on's Nab,,,
Berk∫hire I∫land,,,
Common Nab,,,
Lanca∫ter,,,
Kendal,,,
Burton,,,
Holme,,,
Lanca∫ter,,,
We∫t Indies,,,
