name,country,state,field_4
Kirby-thore,United Kingdom,,
Eimot,United Kingdom,,
Ulz-water,United Kingdom,,
Eeman,United Kingdom,,
Eeman,United Kingdom,,
Dunmallert,United Kingdom,,
Dunmallert,United Kingdom,,
Eeman,United Kingdom,,
Eeman,United Kingdom,,
Ulz-water [??] shore,United Kingdom,,
Ulz-water,United Kingdom,,
Penradock,United Kingdom,,
Threlcot,United Kingdom,,
St John's,United Kingdom,,
Latter-rig,United Kingdom,,
Crosthwait,United Kingdom,,
Carf-close-reeds,United Kingdom,,
Lodoor-banks,United Kingdom,,
Lodoor,United Kingdom,,
Lodoor,United Kingdom,,
Alps,United Kingdom,,
Eagle's-cliff,United Kingdom,,
Dove's-nest,United Kingdom,,
Whitedale-pike,United Kingdom,,
Sea-Whaite,United Kingdom,,
Ravenglas,United Kingdom,,
Bassinthwaite-water,United Kingdom,,
Portingskall,United Kingdom,,
Catchidecam,United Kingdom,,
Bassingth,United Kingdom,,
Widhope-Brows,United Kingdom,,
Armathwate,United Kingdom,,
Armathwate-House,United Kingdom,,
Naddle-Fells,United Kingdom,,
Lanewaite,United Kingdom,,
Thirl-meer,United Kingdom,,
Wiborn-water,United Kingdom,,
Ridale-water,United Kingdom,,
Rydale-head,United Kingdom,,
Wynander-mere [lake],United Kingdom,,
Winder-mere[eastern shore],United Kingdom,,
Langsledale,United Kingdom,,
Wreenose,United Kingdom,,
Ings-Chappel,United Kingdom,,
Milthrop,United Kingdom,,
Siserge,United Kingdom,,
Siser,United Kingdom,,
Milthrop,United Kingdom,,
Farlton-Knot,United Kingdom,,
Cartmell-sands,United Kingdom,,
isle of Fowdrey,United Kingdom,,
Pooton,United Kingdom,,
