koht	pealkiri	aasta	žanr
A. Laikmaa tänav (Tallinn)	Must Peeter	2008	Mängufilm, Lühimängufilm
A. Laikmaa tänav (Tallinn)	Tallinna trammid ja trollid	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aa (Ida-Virumaa)	Tootmiskoondise Eesti Põlevkivi pioneerilaagris	1977	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aachen (Saksamaa)	Ära mind lahti lase	2019	Dokumentaalfilm
Aafrika	Jeesus juhatab Sind kiirteele	2019	Mängufilm, Täispikk mängufilm
Aafrika	Oma silm on kuningas	2018	Dokumentaalfilm, Olukirjeldusfilm, Film filmi tegemisest
Aafrika	Südametunnistus mobiiltelefonis	2016	Dokumentaalfilm
Aafrika	Turu majandus	2016	Dokumentaalfilm, Olukirjeldusfilm, Film filmi tegemisest
Aafrika	Aafrika ema	2011	Tudengifilm, Dokumentaalfilm
Aafrika	Meremeeste maa	1982	Dokumentaalfilm
Aafrika	Põhja-Aafrika mosaiik	1980	Dokumentaalfilm, Olukirjeldusfilm
Aakre ( (Ida-Virumaa)	Eesti metsloomad	1971	Dokumentaalfilm, Muud liigitused, Tellimusfilm
Aaspere (Lääne-Virumaa)	Lagunevad mõisahooned	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aban (Krasnojarski krai, Venemaa)	Söerikastaja	2004	Dokumentaalfilm, Portreefilm
Abhaaasia	Mandariinid	2013	Mängufilm, Täispikk mängufilm
Abhaaasia	Kõik inimese heaks	1985	Populaarteaduslik film, Tellimusfilm, Muud liigitused
Abhaasia (Gruusia)	Sädemete jõed	2016	Dokumentaalfilm, Probleemfilm
Abhaasia (Gruusia)	Lobotoomia	2010	Dokumentaalfilm, Probleemfilm
Abhaasia (Gruusia)	Intervjuu president Dudajeviga	1995	Dokumentaalfilm
Abhaasia (Gruusia)	Sajandiring	1985	Dokumentaalfilm
Abhaasia (Gruusia)	Eesti kolhoos Gruusias	1947	Dokumentaalfilm
Abhaasia (Gruusia)	Kaugeid suguvendi külastamas	1947	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Abja (Viljandimaa)	Mõeldes kevadele	1956	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Abja (Viljandimaa)	Linakoristus	1955	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Abja (Viljandimaa)	Pilte Noorte Kotkaste laagrist	1937	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Abja rajoon	Mõeldes kevadele	1956	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Abruka saar	Armastusega Abrukale ja tagasi	2009	Amatöörfilm
Abruka saar	Saare kalurid	1978	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Abruka saar	Kivid ja kadakad	1972	Dokumentaalfilm, Olukirjeldusfilm
Abruka saar	Moldaavia NSV kunstinädal Eesti NSV-s	1963	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Abruka saar	Kas tunned maad...	1931	Dokumentaalfilm
Accra (Lõuna-Ghana)	Eesti küla Ghanas	2016	Dokumentaalfilm
Aconcagua mägi (Argentiina)	Eestlased Ameerika katusel	1998	Dokumentaalfilm, Olukirjeldusfilm
Adams (USA)	Koduaed, kuberneri vahtkond ja paraad Hartfordis, mereväelased New Yorgi maailmanäitusel	1940	Amatöörfilm, Kroonika
Adavere (Jõgevamaa)	Sensatsiooniline Tartu Kevadbänd	2004	Dokumentaalfilm, Olukirjeldusfilm
Adavere (Jõgevamaa)	Metsavendade kokkutulek	1992	Filmikroonika, Kroonikafilmid alates 1992
Adavere (Jõgevamaa)	Teekond Tallinna 30.03.1989	1989	Amatöörfilm, Kroonika
Adavere (Jõgevamaa)	Teekond Tartusse 28.03.1989	1989	Amatöörfilm, Kroonika
Adavere (Jõgevamaa)	XIV Vabadusristi päev Adaveres	1989	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Adavere (Jõgevamaa)	Kahastöö	1985	Dokumentaalfilm
Adavere (Jõgevamaa)	Kevadine naeratus	1972	Dokumentaalfilm, Portreefilm
Adavere (Jõgevamaa)	Vennad mehhanisaatorid	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Adavere (Jõgevamaa)	Elmar Berhman	1967	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Adavere (Jõgevamaa)	Künnivõistlused	1965	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Addis Abeba (Etioopia)	Turu majandus	2016	Dokumentaalfilm, Olukirjeldusfilm, Film filmi tegemisest
Adelaide (Austraalia)	Austraalia eestlased 3. film, I jagu	1995-1996	Amatöörfilm, Kroonika
Adelaide (Austraalia)	Austraalia eestlased 8. film	1995-1996	Amatöörfilm, Kroonika
Adelaide (Austraalia)	Austraalia eestlased 9. film	1995-1996	Amatöörfilm, Kroonika
Adelaide (Austraalia)	Skautide-gaidide suurlaagrid: Melbourne, Adelaide	1978	Amatöörfilm, Kroonika
Adelaide (Austraalia)	Rahvatants Austraalias 1973,1974,1977	1977	Amatöörfilm, Kroonika
Adelaide (Austraalia)	Eesti mängud Adelaide'is. Zoo	1975	Amatöörfilm, Kroonika
Adelaide (Austraalia)	IX Eesti päevad Adelaide'is	1975	Amatöörfilm, Kroonika
Adelaide (Austraalia)	I Eesti Noortepäevad 1974	1974	Amatöörfilm, Kroonika
Adelaide (Austraalia)	Tammy		 Amatöörfilm, Kroonika | Režissöör: 
Adelsö (saar Rootsis)	Tuttavad 5 (Londoni reis)	1980	Amatöörfilm, Kroonika
Adelsö (saar Rootsis)	Tuttavad 7	1977	Amatöörfilm, Kroonika
Adelsö (saar Rootsis)	Sugulased 6	1973	Amatöörfilm, Kroonika
Adelsö (saar Rootsis)	Tuttavad 3	1973	Amatöörfilm, Kroonika
Adelsö (saar Rootsis)	Perekond 30	1972	Amatöörfilm, Kroonika
Adelsö (saar Rootsis)	Perekond 27	1970	Amatöörfilm, Kroonika
Adler (Venemaa)	Elu nagu kümnevõistlus	1984	Dokumentaalfilm, Portreefilm
Aegna saar	Vanamutt ja meri	2013	Tudengifilm, Dokumentaalfilm
Aegna saar	Allveekalapüügi võistlused	1968	Filmikroonika, Kroonikafilmid 1940 II pool-1991
Aegna saar	Lipu annetamine Aegna merekindlusele	1928	Kroonikafilmid 1912-1940 I pool, Filmikroonika
Aegviidu (Harjumaa)	Maran	2018	Dokumentaalfilm, Portreefilm
Aegviidu (Harjumaa)	Konnade tee	2015	Dokumentaalfilm, Loodusfilm
