PAARID;KOHAD;POS_KOHAD;KOLLOKAADID;POS_KOLLOKAADID;NER_KOLLOKAADID;KOKKU;KOHT_KOKKU;KOLL_KOKKU;N;E;Z-skoor
Saksa-Rootsi esialgne;Saksa-Rootsi;H;esialgne;A;O;1;1;1;45442;2.200607367633467e-05;213.16660156320475
Lääne-Euroopa äärne;Lääne-Euroopa;H;äärne;A;O;1;1;1;45442;2.200607367633467e-05;213.16660156320475
Rootsimaa tõenäitlik;Rootsimaa;H;tõenäitlik;A;O;1;2;1;45442;4.401214735266934e-05;150.7282324052536
Järva omavääriline;Järva;H;omavääriline;A;O;1;3;1;45442;6.601822102900401e-05;123.06637802158457
Järva säälne;Järva;H;säälne;A;O;1;3;1;45442;6.601822102900401e-05;123.06637802158457
Lääs äärne;Lääs;H;äärne;A;O;1;3;1;45442;6.601822102900401e-05;123.06637802158457
Piibe kirju;Piibe;H;kirju;A;O;1;1;3;45442;6.601822102900401e-05;123.06637802158457
Järva õhtupoolne;Järva;H;õhtupoolne;A;O;1;3;1;45442;6.601822102900401e-05;123.06637802158457
Kadriorg praegune;Kadriorg;H;praegune;A;O;2;2;9;45442;0.00039610932617402405;100.47000855146548
Saksamaa lihtne;Saksamaa;H;lihtne;A;O;2;2;9;45442;0.00039610932617402405;100.47000855146548
Toompea väike;Toompea;H;väike;A;O;1;5;1;45442;0.00011003036838167334;95.32261069667767
Kura peetud;Kura;H;peetud;A;O;2;3;7;45442;0.000462127547203028;93.01408231954233
vene lagunenud;vene;G;lagunenud;A;O;1;6;1;45442;0.00013203644205800802;87.01532507956921
Piibe üleüldine;Piibe;H;üleüldine;A;O;1;1;6;45442;0.00013203644205800802;87.01532507956921
Narva üleüldine;Narva;H;üleüldine;A;O;1;1;6;45442;0.00013203644205800802;87.01532507956921
Uuemõisa arusaadav;Uuemõisa;S;arusaadav;A;O;1;2;3;45442;0.00013203644205800802;87.01532507956921
Kadriorg määratu;Kadriorg;H;määratu;A;O;1;2;4;45442;0.00017604858941067735;75.35416495488879
Lõuna-Liivi järgmine;Lõuna-Liivi;H;järgmine;A;O;1;1;8;45442;0.00017604858941067735;75.35416495488879
Jägala õhtupoolne;Jägala;H;õhtupoolne;A;O;1;8;1;45442;0.00017604858941067735;75.35416495488879
Virumaa tunginud;Virumaa;H;tunginud;A;O;1;1;8;45442;0.00017604858941067735;75.35416495488879
Piibe praegune;Piibe;H;praegune;A;O;1;1;9;45442;0.00019805466308701203;71.04302435261167
Viru omavääriline;Viru;H;omavääriline;A;O;1;9;1;45442;0.00019805466308701203;71.04302435261167
Narva praegune;Narva;H;praegune;A;O;1;1;9;45442;0.00019805466308701203;71.04302435261167
Viru säälne;Viru;H;säälne;A;O;1;9;1;45442;0.00019805466308701203;71.04302435261167
Viru õhtupoolne;Viru;H;õhtupoolne;A;O;1;9;1;45442;0.00019805466308701203;71.04302435261167
Tõnismägi valgendav;Tõnismägi;H;valgendav;A;O;1;3;3;45442;0.00019805466308701203;71.04302435261167
Rooma vägev;Rooma;H;vägev;A;O;1;1;10;45442;0.00022006073676334668;67.39584720189173
Toompea tunginud;Toompea;H;tunginud;A;O;2;5;8;45442;0.0008802429470533867;67.38101275762295
Moskva ülijulge;Moskva;H;ülijulge;A;O;1;11;1;45442;0.00024206681043968136;64.25800456875174
Moskva kauge;Moskva;H;kauge;A;O;1;11;1;45442;0.00024206681043968136;64.25800456875174
Moskva ülikange;Moskva;H;ülikange;A;O;1;11;1;45442;0.00024206681043968136;64.25800456875174
Virumaa paljas;Virumaa;H;paljas;A;O;1;1;11;45442;0.00024206681043968136;64.25800456875174
Võnnu kentsakas;Võnnu;H;kentsakas;A;O;2;3;15;45442;0.00099027331543506;63.52393154679742
Kose arusaadav;Kose;H;arusaadav;A;O;1;4;3;45442;0.00026407288411601604;61.5210012711612
Virumaa üksik;Virumaa;H;üksik;A;O;1;1;13;45442;0.0002860789577923507;59.106165055917984
Liivi ajaloolik;Liivi;H;ajaloolik;A;O;1;15;1;45442;0.00033009110514502005;55.02242267255933
Liivi parandamata;Liivi;H;parandamata;A;O;1;15;1;45442;0.00033009110514502005;55.02242267255933
Liivi laenatud;Liivi;H;laenatud;A;O;1;15;1;45442;0.00033009110514502005;55.02242267255933
Soodla paks;Soodla;H;paks;A;O;1;1;15;45442;0.00033009110514502005;55.02242267255933
Toompea parajane;Toompea;H;parajane;A;O;1;5;3;45442;0.00033009110514502005;55.02242267255933
