Sisend ID;PAARID;KOHAD;POS_KOHAD;KOLLOKAADID;POS_KOLLOKAADID;NER_KOLLOKAADID;KOKKU;KOHT_KOKKU;KOLL_KOKKU;N;E;Z-skoor;Täisaadress;Kvaliteet;Objekti liik;Koodaadress;L-Est X;L-Est Y;N;E;N (dms);E (dms)
1;Saksa-Rootsi esialgne;Saksa-Rootsi;H;esialgne;A;O;1;1;1;45442;2,20061E-05;213,1666016;;Aadressi ei leitud;;;;;;;;
2;Lääne-Euroopa äärne;Lääne-Euroopa;H;äärne;A;O;1;1;1;45442;2,20061E-05;213,1666016;;Aadressi ei leitud;;;;;;;;
3;Rootsimaa tõenäitlik;Rootsimaa;H;tõenäitlik;A;O;1;2;1;45442;4,40121E-05;150,7282324;Saare maakond, Saaremaa vald, Laadla küla, Rootsimaa;Leiti aadress, üks objekti vaste;3;747144009000000002Y8K000000000000;6427587;384092;57.9745;22.041;"57°58'28.19""";"22°2'27.59"""
4;Järva omavääriline;Järva;H;omavääriline;A;O;1;3;1;45442;6,60182E-05;123,066378;Järva maakond;Leiti aadress, üks objekti vaste;1;520000000000000000000000000000000;6528508;590491;58.88629;25.5695;"58°53'10.63""";"25°34'10.20"""
5;Järva säälne;Järva;H;säälne;A;O;1;3;1;45442;6,60182E-05;123,066378;Järva maakond;Leiti aadress, üks objekti vaste;1;520000000000000000000000000000000;6528508;590491;58.88629;25.5695;"58°53'10.63""";"25°34'10.20"""
6;Lääs äärne;Lääs;H;äärne;A;O;1;3;1;45442;6,60182E-05;123,066378;Harju maakond, Raasiku vald, Järsi küla, Alajaama 1;Ajalooline aadress, leiti uus kehtiv vaste;3;376512335000000009GER000000000000;6580928;559549;59.3622;25.04713;"59°21'43.92""";"25°2'49.68"""
7;Piibe kirju;Piibe;H;kirju;A;O;1;1;3;45442;6,60182E-05;123,066378;Lääne-Viru maakond, Väike-Maarja vald, Piibe küla;Leiti aadress, üks objekti vaste;1;609286158000000000000000000000000;6535597;625510;58.94112;26.18051;"58°56'28.02""";"26°10'49.82"""
8;Järva õhtupoolne;Järva;H;õhtupoolne;A;O;1;3;1;45442;6,60182E-05;123,066378;Järva maakond;Leiti aadress, üks objekti vaste;1;520000000000000000000000000000000;6528508;590491;58.88629;25.5695;"58°53'10.63""";"25°34'10.20"""
9;Kadriorg praegune;Kadriorg;H;praegune;A;O;2;2;9;45442;0,000396109;100,4700086;Harju maakond, Tallinn, Kesklinna linnaosa, A. Alle tn;Leiti aadress, üks objekti vaste;2;377840298000005VZ0000000000000000;6589294;544369;59.43915;24.78195;"59°26'20.93""";"24°46'55.00"""
10;Saksamaa lihtne;Saksamaa;H;lihtne;A;O;2;2;9;45442;0,000396109;100,4700086;Tartu maakond, Peipsiääre vald, Papiaru küla, Saksamaa;Leiti aadress, üks objekti vaste;3;795865981000000001R6E000000000000;6490653;666206;58.52418;26.85357;"58°31'27.05""";"26°51'12.86"""
11;Toompea väike;Toompea;H;väike;A;O;1;5;1;45442;0,00011003;95,3226107;Harju maakond, Tallinn, Kesklinna linnaosa, Toompea tn;Leiti aadress, üks objekti vaste;2;377840298000004AY0000000000000000;6588658;541967;59.43368;24.73949;"59°26'1.26""";"24°44'22.18"""
12;Kura peetud;Kura;H;peetud;A;O;2;3;7;45442;0,000462128;93,01408232;Saare maakond, Saaremaa vald, Kuralase küla;Leiti aadress, üks objekti vaste;1;747143632000000000000000000000000;6482667;381216;58.46804;21.96417;"58°28'4.95""";"21°57'51.02"""
13;vene lagunenud;vene;G;lagunenud;A;O;1;6;1;45442;0,000132036;87,01532508;Lääne-Viru maakond, Vinni vald, Venevere küla;Leiti aadress, üks objekti vaste;1;609019204000000000000000000000000;6544575;655117;59.012;26.70065;"59°0'43.19""";"26°42'2.34"""
14;Piibe üleüldine;Piibe;H;üleüldine;A;O;1;1;6;45442;0,000132036;87,01532508;Lääne-Viru maakond, Väike-Maarja vald, Piibe küla;Leiti aadress, üks objekti vaste;1;609286158000000000000000000000000;6535597;625510;58.94112;26.18051;"58°56'28.02""";"26°10'49.82"""
15;Narva üleüldine;Narva;H;üleüldine;A;O;1;1;6;45442;0,000132036;87,01532508;Ida-Viru maakond, Narva linn;Leiti aadress, üks objekti vaste;1;455110000000000000000000000000000;6589461;738257;59.37609;28.19387;"59°22'33.92""";"28°11'37.93"""
16;Uuemõisa arusaadav;Uuemõisa;S;arusaadav;A;O;1;2;3;45442;0,000132036;87,01532508;Lääne maakond, Haapsalu linn, Uuemõisa alevik;Leiti aadress, üks objekti vaste;1;561848769000000000000000000000000;6533682;475202;58.94153;23.56925;"58°56'29.50""";"23°34'9.29"""
17;Kadriorg määratu;Kadriorg;H;määratu;A;O;1;2;4;45442;0,000176049;75,35416495;Harju maakond, Tallinn, Kesklinna linnaosa, A. Alle tn;Leiti aadress, üks objekti vaste;2;377840298000005VZ0000000000000000;6589294;544369;59.43915;24.78195;"59°26'20.93""";"24°46'55.00"""
18;Lõuna-Liivi järgmine;Lõuna-Liivi;H;järgmine;A;O;1;1;8;45442;0,000176049;75,35416495;;Aadressi ei leitud;;;;;;;;
19;Jägala õhtupoolne;Jägala;H;õhtupoolne;A;O;1;8;1;45442;0,000176049;75,35416495;Harju maakond, Jõelähtme vald, Jägala küla;Leiti aadress, üks objekti vaste;1;372452299000000000000000000000000;6586712;570366;59.41246;25.23918;"59°24'44.85""";"25°14'21.06"""
20;Virumaa tunginud;Virumaa;H;tunginud;A;O;1;1;8;45442;0,000176049;75,35416495;Lääne-Viru maakond, Väike-Maarja vald, Määri küla, Virumaa;Leiti aadress, üks objekti vaste;3;609285295000000001T03000000000000;6551570;638876;59.08031;26.42254;"59°4'49.13""";"26°25'21.15"""
21;Piibe praegune;Piibe;H;praegune;A;O;1;1;9;45442;0,000198055;71,04302435;Lääne-Viru maakond, Väike-Maarja vald, Piibe küla;Leiti aadress, üks objekti vaste;1;609286158000000000000000000000000;6535597;625510;58.94112;26.18051;"58°56'28.02""";"26°10'49.82"""
22;Viru omavääriline;Viru;H;omavääriline;A;O;1;9;1;45442;0,000198055;71,04302435;Võru maakond, Rõuge vald, Viru küla;Leiti aadress, üks objekti vaste;1;876989391000000000000000000000000;6403503;663727;57.74332;26.74976;"57°44'35.97""";"26°44'59.12"""
23;Narva praegune;Narva;H;praegune;A;O;1;1;9;45442;0,000198055;71,04302435;Ida-Viru maakond, Narva linn;Leiti aadress, üks objekti vaste;1;455110000000000000000000000000000;6589461;738257;59.37609;28.19387;"59°22'33.92""";"28°11'37.93"""
24;Viru säälne;Viru;H;säälne;A;O;1;9;1;45442;0,000198055;71,04302435;Võru maakond, Rõuge vald, Viru küla;Leiti aadress, üks objekti vaste;1;876989391000000000000000000000000;6403503;663727;57.74332;26.74976;"57°44'35.97""";"26°44'59.12"""
25;Viru õhtupoolne;Viru;H;õhtupoolne;A;O;1;9;1;45442;0,000198055;71,04302435;Võru maakond, Rõuge vald, Viru küla;Leiti aadress, üks objekti vaste;1;876989391000000000000000000000000;6403503;663727;57.74332;26.74976;"57°44'35.97""";"26°44'59.12"""
26;Tõnismägi valgendav;Tõnismägi;H;valgendav;A;O;1;3;3;45442;0,000198055;71,04302435;Harju maakond, Tallinn, Kesklinna linnaosa, Tõnismägi;Leiti aadress, üks objekti vaste;2;37784029800000M4L0000000000000000;6588254;542064;59.43005;24.74112;"59°25'48.17""";"24°44'28.05"""
27;Rooma vägev;Rooma;H;vägev;A;O;1;1;10;45442;0,000220061;67,3958472;Pärnu maakond, Pärnu linn, Lemmetsa küla, Rooma;Leiti aadress, üks objekti vaste;3;686244268000000006BGR000000000000;6476131;520563;58.42506;24.35194;"58°25'30.22""";"24°21'7.00"""
28;Toompea tunginud;Toompea;H;tunginud;A;O;2;5;8;45442;0,000880243;67,38101276;Harju maakond, Tallinn, Kesklinna linnaosa, Toompea tn;Leiti aadress, üks objekti vaste;2;377840298000004AY0000000000000000;6588658;541967;59.43368;24.73949;"59°26'1.26""";"24°44'22.18"""
29;Moskva ülijulge;Moskva;H;ülijulge;A;O;1;11;1;45442;0,000242067;64,25800457;Võru maakond, Setomaa vald, Mokra küla, Moskva;Leiti aadress, üks objekti vaste;3;877324970000000000QCV000000000000;6394885;701108;57.65073;27.36934;"57°39'2.61""";"27°22'9.61"""
30;Moskva kauge;Moskva;H;kauge;A;O;1;11;1;45442;0,000242067;64,25800457;Võru maakond, Setomaa vald, Mokra küla, Moskva;Leiti aadress, üks objekti vaste;3;877324970000000000QCV000000000000;6394885;701108;57.65073;27.36934;"57°39'2.61""";"27°22'9.61"""
31;Moskva ülikange;Moskva;H;ülikange;A;O;1;11;1;45442;0,000242067;64,25800457;Võru maakond, Setomaa vald, Mokra küla, Moskva;Leiti aadress, üks objekti vaste;3;877324970000000000QCV000000000000;6394885;701108;57.65073;27.36934;"57°39'2.61""";"27°22'9.61"""
32;Virumaa paljas;Virumaa;H;paljas;A;O;1;1;11;45442;0,000242067;64,25800457;Lääne-Viru maakond, Väike-Maarja vald, Määri küla, Virumaa;Leiti aadress, üks objekti vaste;3;609285295000000001T03000000000000;6551570;638876;59.08031;26.42254;"59°4'49.13""";"26°25'21.15"""
33;Võnnu kentsakas;Võnnu;H;kentsakas;A;O;2;3;15;45442;0,000990273;63,52393155;Tartu maakond, Kastre vald, Võnnu alevik;Leiti aadress, üks objekti vaste;1;792919570000000000000000000000000;6464834;678429;58.28777;27.04305;"58°17'15.97""";"27°2'34.98"""
34;Kose arusaadav;Kose;H;arusaadav;A;O;1;4;3;45442;0,000264073;61,52100127;Harju maakond, Kose vald;Leiti aadress, üks objekti vaste;1;373380000000000000000000000000000;6561137;566682;59.18351;25.16649;"59°11'0.63""";"25°9'59.36"""
35;Virumaa üksik;Virumaa;H;üksik;A;O;1;1;13;45442;0,000286079;59,10616506;Lääne-Viru maakond, Väike-Maarja vald, Määri küla, Virumaa;Leiti aadress, üks objekti vaste;3;609285295000000001T03000000000000;6551570;638876;59.08031;26.42254;"59°4'49.13""";"26°25'21.15"""
36;Liivi ajaloolik;Liivi;H;ajaloolik;A;O;1;15;1;45442;0,000330091;55,02242267;Lääne maakond, Lääne-Nigula vald, Liivi küla;Leiti aadress, üks objekti vaste;1;564414361000000000000000000000000;6523888;498261;58.85431;23.96987;"58°51'15.52""";"23°58'11.53"""
37;Liivi parandamata;Liivi;H;parandamata;A;O;1;15;1;45442;0,000330091;55,02242267;Lääne maakond, Lääne-Nigula vald, Liivi küla;Leiti aadress, üks objekti vaste;1;564414361000000000000000000000000;6523888;498261;58.85431;23.96987;"58°51'15.52""";"23°58'11.53"""
38;Liivi laenatud;Liivi;H;laenatud;A;O;1;15;1;45442;0,000330091;55,02242267;Lääne maakond, Lääne-Nigula vald, Liivi küla;Leiti aadress, üks objekti vaste;1;564414361000000000000000000000000;6523888;498261;58.85431;23.96987;"58°51'15.52""";"23°58'11.53"""
39;Soodla paks;Soodla;H;paks;A;O;1;1;15;45442;0,000330091;55,02242267;Harju maakond, Anija vald, Soodla küla;Leiti aadress, üks objekti vaste;1;371417693000000000000000000000000;6583840;577453;59.38545;25.36293;"59°23'7.62""";"25°21'46.54"""
40;Toompea parajane;Toompea;H;parajane;A;O;1;5;3;45442;0,000330091;55,02242267;Harju maakond, Tallinn, Kesklinna linnaosa, Toompea tn;Leiti aadress, üks objekti vaste;2;377840298000004AY0000000000000000;6588658;541967;59.43368;24.73949;"59°26'1.26""";"24°44'22.18"""
41;Eesti põhjatu;Eesti;H;põhjatu;A;O;2;21;3;45442;0,001386383;53,67688269;Viljandi maakond, Viljandi vald, Lalsi küla, Eesti;Leiti aadress, üks objekti vaste;3;848994088000000000KQV000000000000;6483669;618200;58.47719;26.02634;"58°28'37.89""";"26°1'34.84"""
42;Lasna põlenud;Lasna;H;põlenud;A;O;1;8;2;45442;0,000352097;53,2740589;Harju maakond, Tallinn, Lasnamäe linnaosa;Leiti aadress, üks objekti vaste;1;377840387000000000000000000000000;6588567;546772;59.43236;24.82413;"59°25'56.51""";"24°49'26.88"""
43;Pirita õnnis;Pirita;H;õnnis;A;O;1;16;1;45442;0,000352097;53,2740589;Harju maakond, Tallinn, Pirita linnaosa;Leiti aadress, üks objekti vaste;1;377840596000000000000000000000000;6592619;547345;59.46867;24.83512;"59°28'7.21""";"24°50'6.43"""
44;Pirita kardetud;Pirita;H;kardetud;A;O;1;16;1;45442;0,000352097;53,2740589;Harju maakond, Tallinn, Pirita linnaosa;Leiti aadress, üks objekti vaste;1;377840596000000000000000000000000;6592619;547345;59.46867;24.83512;"59°28'7.21""";"24°50'6.43"""
45;Pirita abtessiga;Pirita;H;abtessiga;A;O;1;16;1;45442;0,000352097;53,2740589;Harju maakond, Tallinn, Pirita linnaosa;Leiti aadress, üks objekti vaste;1;377840596000000000000000000000000;6592619;547345;59.46867;24.83512;"59°28'7.21""";"24°50'6.43"""
