Vald;L/P;Norm;Kihelkond;Parish_id;Murre;Maakond;coordinates;Protokolle;TundmatuteProtsent;Algus;Lõpp;Kommentaar
Alatskivi;P;Y;Kodavere;Kod;ida;Tartumaa;58.603805,27.129619;199;16;1878-03-02;1879-02-06;
Laiuse;P;Y;Laiuse;Lai;ida;Tartumaa;58.792822,26.487279;51;7;1885-08-29;1885-12-13;Kui idapoolne Laiuse, siis idamurre, muidu keskmurre
Vastse-Nõo;L;Y;Nõo;Nõo;Tartu;Tartumaa;58.272537,26.521095;194;19;1878-05-18;1880-12-18;Siin võib olla segamini normaliseeritud ja normaliseerimata tekste. Türnal protokollide arv 107.
Joosu;L;N;Põlva;Plv;Võru;Võrumaa;57.935686,27.033186;144;39;1868-01-31;1871-07-13;
Kahkva;L;N;Räpina;Räp;Võru;Võrumaa;57.996405,27.474930;231;33;1866-06-27;1869-04-07;
Kiuma;L;Y;Põlva;Plv;Võru;Võrumaa;58.063820,26.966643;166;17;1880-04-22;1882-04-21;
Navesti;P;Y;Suure-Jaani;SJn;kesk;Viljandimaa;58.584497,25.528519;119;11;1880-03-18;1881-12-15;
Tarvastu;L;Y;Tarvastu;Trv;Mulgi;Viljandimaa;58.233996,25.891061;157;25;1872-09-15;1873-03-21;
Uue-Suislepa;L;Y;Tarvastu;Trv;Mulgi;Viljandimaa;58.148851,25.981677;395;14;1872-09-01;1876-01-09;
Mihkli;P;Y;Mihkli;Mih;lääne;Pärnumaa;58.612830,24.205787;76;10;1884-10-23;1890-03-19;
Maasi;P;Y;Pöide;Pöi;saarte;Saaremaa;58.565295,23.047298;75;17;1885-09-07;1888-01-29;
Aru;L;N;Nõo;Nõo;Tartu;Tartumaa;58.269090,26.320803;118;21;1889-10-25;1890-03-07;
Haaslava;L;N;Kambja;Kam;Tartu;Tartumaa;58.327078,26.814801;160;40;1883-10-03;1884-10-29;
Kokora;P;N;Kodavere;Kod;ida;Tartumaa;58.637225,27.056123;59;40;1873-05-18;1873-12-28;
Kärevere;P;N;Äksi;Äks;kesk;Tartumaa;58.431374,26.484438;46;39;1874-01-16;1874-12-10;
Laeva;P;N;Kursi;Ksi;kesk;Tartumaa;58.465936,26.367113;154;19;1885-02-07;1887-01-20;
Luke;L;N;Nõo;Luk;Tartu;Tartumaa;58.243121,26.574271;54;47;1867-02-03;1867-12-15;
Mäksa;L;N;Võnnu;Võn;Tartu;Tartumaa;58.377549,26.978316;122;39;1875-12-12;1876-12-17;
Pangodi;L;N;Nõo;Nõo;Tartu;Tartumaa;58.200833,26.583670;116;31;1881-05-27;1882-06-18;
Suure-Konguta;L;N;Puhja;Puh;Tartu;Tartumaa;58.229198,26.295525;53;51;1875-12-11;1876-03-30;
Valguta;L;N;Rannu;Ran;Tartu;Tartumaa;58.190602,26.205521;106;41;1879-01-18;1879-12-06;
Väike-Rõngu;L;N;Rõngu;Rõn;Tartu;Tartumaa;58.176533,26.252163;72;52;1876-04-30;1876-12-23;
